demonstration	test_sentence	response
Mazda makes the Tracer for Ford	Prices on the Frankfurt Stock Exchange tumbled in heavy trading	frankfurt stock exchange tumbled in heavy trading
Dow Jones is the publisher of The Wall Street Journal	Analysts had mixed responses to the results	analysts had mixed
The Environmental Protection Agency is getting a lot out of the Superfund program	Employees wore identification badges listing not only their names but also their dates of hire	employees wore identification badges listing not only their names but also their dates
Mervin Lung remains chairman and chief executive officer	There are a few ramshackle fishing towns with quiet atolls of resort houses nearby	there are ramshackle fishing towns
But its stock jumped again yesterday as it disclosed surprisingly strong margins on those sales	But the outcome of a legal dispute almost always turns on the facts	but the outcome of a legal dispute always turns on
Waxman sells a variety of hardware products for the home repair market	Repeat customers also can purchase luxury items at reduced prices	repeat customers purchase
Some lagging competitors even may leave the personal computer business altogether	Stock prices fell sharply in active trading	stock prices fell sharply
Sears is also stepping up its television ads and changing its message	The pilots argued that this triggered a pay raise for them	fail to follow
Some business analysts blame the problem on tough competition in the insurance market	That went over the permissible line for warm and fuzzy feelings	that went for warm and fuzzy feelings
He gave no further details	Nguyen Van Chan is living proof that old ways die hard	nguyen van chan is
Recruiter Donald Clark does note an increase in searches for minority candidates	The House Energy Committee will debate the issue later this month	the house energy committee will debate
And transfer control of much of it to Capitol Hill	The new rules will allow investors to buy foreign stocks directly	the new rules will allow foreign stocks directly
He is our most dangerous enemy	Two election commission members opposed the matching plans	two election commission members opposed
Conference committees are breeding grounds for mischief	The guide scoops into a pail and puts a frantically wiggling croaker on the hook	the guide scoops and puts
Cost is a key consideration because of the global sweep of the financial markets	Yet he has proved more resilient than any of them	he proved more resilient than any of them
The woman won the bet	That announcement left union officials in Van Nuys and Oklahoma City uncertain about their futures	that announcement left
The engine plant may encompass plans for a joint components venture with Jaguar	Still the Salinger decision created a strong presumption against fair use of unpublished materials	still the salinger decision created
Their discomfort is a healthy sign for the rest of us	Their problem is one of inefficiency of an industrial economy	their problem is
They are awaiting an arbitration proceeding	Laurie McGinley contributed to this article	laurie mcginley contributed
Most earn high ratings from credit agencies	Even some House Banking Committee members could suffer from the fallout	even some house banking committee members could
Other gainers were companies with one or more undamaged California refineries	Bob Stone stewed over a letter from his manager putting him on probation for insubordination	bob stone stewd
Others analyze the data	The loss of more customers is the latest in a string of problems	the loss of more customers is
He said that the research team had no financial stake in the drug	It arrived just as the regulator handling such operations was retiring	it arrived just as the regulator retiring
So the Federal Reserve is an attractive target for complaint by politicians	Scientists also are exploring memory and perception with the new machines	scientists also are
