demonstration	test_sentence	response
This misguided policy could not prevent a British trade deficit	Accepted theories state that investors require higher returns on riskier investments	accepted theories state that investors require higher returns on
It blames most of these on Fatah	No sophisticated professional expects economists to be right all the time	no sophisticated professional expects to be right all the time
He had been vice president in that office	Nguyen Van Chan is living proof that old ways die hard	nguyen van chan is living
Other money managers also opened their wallets	The four lawyers climbed out from under a table	the four lawyers climbed out
The relative calm in Tokyo proved little comfort to markets opening up in Europe	Bob Stone stewed over a letter from his manager putting him on probation for insubordination	bob stone stewed
It was the highest bid in history for a work of art	She analyzed families by their sleeping arrangements	she analyzed
Not that oil suddenly is a sure thing again	Traders can vary their strategies and execute their orders in any one of them	traders can vary and execute in any one of them
Never once did she gasp for air or mop her brow	That went over the permissible line for warm and fuzzy feelings	that went over the permissible line for feelings
They promised yet more for really good stuff	But there was one bright spot yesterday	but there was
But such a combination also presents great risks	The deal would require approval by a majority of Jaguar shareholders	the deal would require
The Fed has assumed a similar responsibility in the market for government securities	Their problem is one of inefficiency of an industrial economy	their problem is
Your story is an insult to the citizens of the Mississippi Delta	This has led them in a fruitless and destructive policy circle	this has led
The Senate Commerce Committee already has approved similar legislation	Stock prices finished about unchanged Friday in quiet expiration trading	stock prices finished about
Every major maker offers computers with color displays	Americans place native or native speakers in charge of subsidiaries overseas	americans place
Deutsche Bank has actively sought a French acquisition for at least two years	He expected as much	he expected
Japan is not a political country	The envelope arrives in the mail	the envelope arrives
Civil suits against planners by clients seeking recovery of funds are increasingly common	The problem is not that the Fed is too unresponsive to the public interest	the problem is not that the fed
Waxman sells a variety of hardware products for the home repair market	The expansion is subject to approval by federal and Wisconsin environmental regulators	the expansion is subject to
Most other states have enacted similar bans	And he questions the White House dedication	and he questions
The company earns about half its revenue overseas and plans further expansion	The market is still very touchy about rumors and news on pending takeovers	the market is still very touchy about on pending takeovers
Developers are also eyeing the real estate portfolios of major corporations	The extrusion unit produces bare and painted custom extrusions for building products and construction industries	the extrusion unit produces
One bank stock was a winner	The issue here may be the soundness of the guarantee	the issue here may be
Employees wore identification badges listing not only their names but also their dates of hire	Dow Jones is the publisher of The Wall Street Journal	dow jones is
They note that stocks experienced volatile swings long before futures	Big financial stocks carried the day	big financial stocks carried
