demonstration	test_sentence	response
Not that oil suddenly is a sure thing again	The Arabs had merely oil	the arabs merely oil
The move reflected the growing confidence of the revamped Supreme Soviet	Peter Pae in Pittsburgh contributed to this article	peter pae contributed
Las Vegas has seen nothing quite like it before	Now there are many cars for every purse and purpose	now there are cars for every purpose
Innocent bystanders often are the victims	We think that the ratings revision is unfortunate but not unexpected	we think that the ratings revision is
The pilots argued that this triggered a pay raise for them	That structural lack is crucial because investors are the only source of market liquidity	that structural lack is
The company is facing a takeover proposal from the financier Sir James Goldsmith	He is a lawyer with a string of academic degrees	he is a lawyer with
Businessmen took their cue from the engineers	Bond prices posted strong gains as investors went on a bargain hunt	bond prices posted as investors went on a bargain hunt
The American Stock Exchange listed shares of two companies	The egg producers also lobbied the Food and Drug Administration	the egg producers lobbied
Another poked a hole in the heel of his shoe	Enfield is a holding company with interests in manufacturing concerns	enfield is a holding company in manufacturing concerns
Their report galvanized other molecular biologists	Cost is a key consideration because of the global sweep of the financial markets	cost is a key consideration
He said that the research team had no financial stake in the drug	The collapse of the span has provoked surprise and anger among state officials	the collapse of the span has
Japanese put up with it because the government provided job stability and growing paychecks	Tom Herman contributed to this article	tom herman contributed to
They do indeed want their own nation	Others had lesser damage and there were no injuries among workers	others had lesser damage and there were
The reputed wealth of the Unification Church is another matter of contention	The third principal in the South Gardens adventure did have garden experience	the third principal in the south gardens adventure did
The failed rights issue also should have a modest impact on British Air shares	These revised figures also may explain some of the recent strength of the dollar	these revised figures also may explain
Broader averages also posted modest gains	Small business is bracing for an avalanche of similar proposals next year	small business is bracing for
Chandler might have been predicting the course of his own career	The post had been vacant for more than a year	the post had been vacant
It has some of the highest costs in the league	Los Angeles will be the site of a new entertainment division for the ad agency	los angeles will be
Size and weight considerations also have limited screen displays	It also asked Mesa to keep the proposal confidential	it also asked
Both companies will replace the oil filler cap with a ventilated oil filler cap	The Vatican was in the red last year	the vatican was last year
The issue here may be the soundness of the guarantee	All three funds posted negative returns for the year to date	all three funds posted
They did me some good	The House Energy Committee will debate the issue later this month	the house energy committee will debate later this month
Traders can vary their strategies and execute their orders in any one of them	West German bond prices ended lower after a day of aimless trading	west german bond ended lower after a day of aimless trading
The loss of more customers is the latest in a string of problems	Moscow and Kabul must have found that information useful	moscow and kabul must have found
