demonstration	test_sentence	response
Investors with a heavy tax load should take out their calculators	The issue here may be the soundness of the guarantee	the issue here may be the soundness
The Orange Workers are just putting this preaching into practice	The loyal servant has come full circle	the loyal servant has come
But another big problem has been the aging of baby boomers	The pilots argued that this triggered a pay raise for them	the pilots argued that this triggered
The company also reassigned several executive responsibilities	Solidarity wants it from the West	solidarity wants
Opponents show that there are already more funds available than commendable reform efforts	He had been associate professor in the department of finance at Seton Hall University	he had been
The new rules will allow investors to buy foreign stocks directly	At least half that growth will have come in the past three years alone	at least half will have come in the past three years alone
The House Energy Committee will debate the issue later this month	Both are mining concerns	both are
The coating segment also posted higher sales particularly in North America and Europe	Kia is reportedly also considering such a plan	kia is reportedly also
But the firm has never had a day like yesterday	Giant has interests in cement making and newsprint	giant has interests in
It is merely the most obvious	The chimney is a pile of bricks on the front lawn	the chimney is on the front lawn
It is hoped that other Japanese would then follow the leader	Traders can vary their strategies and execute their orders in any one of them	traders can vary and execute in any one
That caused a brief period of panic selling of stocks on the Big Board	Bill and Bonnie Quinlan are among the first beneficiaries of the new findings	bill and bonnie quinlan are of the new findings
But in this case the needle has a very sharp point	Now at least one Japanese company is turning the courtroom tables	now at least one japanese company is
Cray made its announcement after the stock market closed	United Illuminating also amended its rate plan	united illuminating also amended
But the chain is quickly realizing the pitfalls of such endorsements	Los Angeles will be the site of a new entertainment division for the ad agency	los angeles will be
At least it has a little dash	Other companies are introducing related products	other companies are
That structural lack is crucial because investors are the only source of market liquidity	The figures are at seasonally adjusted annual rates in trillions of dollars	the figures are in trillions of dollars
Miss Brady is deputy director of the Russian Research Foundation in London	And he questions the White House dedication	and he questions
The trust will issue the certificates	It is a peaceful time in this part of western India	it is in this part of western india
Every major maker offers computers with color displays	Civil suits against planners by clients seeking recovery of funds are increasingly common	civil suits against planners by clients seeking recovery of funds are
First Interstate made the move under pressure from regulators	It was down a little	it was a little
Wilfred closed its Massachusetts schools earlier this year	The most pressing problem was the suspension of options trading	the most pressing problem was
But its stock jumped again yesterday as it disclosed surprisingly strong margins on those sales	Options markets stopped trading in many securities	options markets stopped in many securities
Nguyen Van Chan is living proof that old ways die hard	The lonely woman walks on in the direction of the Plaza de Alonso Martinez	the lonely woman walks
