demonstration	test_sentence	response
Not that oil suddenly is a sure thing again	Their discomfort is a healthy sign for the rest of us	their discomfort is the rest of us
He has designed furniture and homes as well as commercial and office space	Japanese companies have a caveat competitor attitude	fail to follow
We now know that the words were not always his own	Some nights he slept under his desk	some nights he slept under
That means huge travel bills	The plan is subject to approval by the bankruptcy court and others	the plan is subject to approval
He had been associate professor in the department of finance at Seton Hall University	The state of New Hampshire has favored that plan	the state of new hampshire has favored
Some funds are posting yields far higher than the average	The failed rights issue also should have a modest impact on British Air shares	the failed rights issue also should have
Many of his peers feel the same way	Mervin Lung remains chairman and chief executive officer	mervin lung remains
She was the child of relative privilege	Yet he has proved more resilient than any of them	yet he has proved
Both the Peasants and Rural Solidarity are forming new political parties for farmers	Blue chips led the march up in heavy trading	blue chips led
Nausea and vomiting are other common side effects	That would leave Hun Sen and the Khmer Rouge	that would leave
It is hoped that other Japanese would then follow the leader	She has also served on several task forces on acquired immune deficiency syndrome	she has also served
He is a lawyer with a string of academic degrees	But the production is the equal of any local program	but the production is
Wang had previously forecast a loss	The house just settled right down into the ground	the house just settled
Recent data from New York City provide more of the picture	The screen was a sea of red	the screen was
And the number of stocks hitting new lows far outstrips the number setting new highs	But most lawyers accept that the marketplace has spoken	but most lawyers accept
Only the bravest spirits survive such roller coasters	This occurred partly because of more competition as the number of new businesses surged	fail to follow
The Fed has assumed a similar responsibility in the market for government securities	Four of those insiders sold more than half their holdings	four of those insiders sold
But they will have disappointing returns or even losses if interest rates rise instead	The House bill also distorts economic efficiency in all sorts of perverse ways	the house bill also distorts
But Trelleborg still must clear some tough hurdles	The company also reassigned several executive responsibilities	the company also reassigned
Japan is a major target for the Soviets	This is the commercial version	this is
The collagen corneal shield helps speed healing of the cornea after eye surgery	But lawmakers of both parties agree that the streamlining was temporary	but lawmakers of both parties agree
Japanese government bonds showed little change	He can live with little pleasures	he can live
That structural lack is crucial because investors are the only source of market liquidity	Local pollution problems require cheap energy and capital for their solution	local pollution problems require
Strategists should consider the impact of budget uncertainties at the beginning of the planning process	He hit the lanes three years ago on the advice of his doctor	he hit on the advice of his doctor
