demonstration	test_sentence	response
Estimated volume was a very light one million ounces	Silicon Valley heaved a sigh of relief yesterday	fail to follow
There was no cost estimate for the second phase	It was a jarring day for investors in Genetics Institute	it was a jarring day
Developers are also eyeing the real estate portfolios of major corporations	Logic plays a minimal role here	logic plays
Japan is not a political country	Industry observers expect a wide divergence in performance	industry observers expect
Recruiter Donald Clark does note an increase in searches for minority candidates	There was no immediate estimate of damage from the company	there was no immediate estimate
The tribe is one of the poorest in the Pacific Northwest	The election was by secret ballot in the General Assembly	the election was
Many of his peers feel the same way	The announcement fueled speculation for future advances in the shares	the announcement fueled
Marketing and sales departments then urged abandonment of the pico project	Colgate sold its hospital supply and home health care business last year	colgate sold
Her story is becoming part of local folklore	Analysts expect further jitters this week	analysts expect
Nor does it cover the entire portfolio	Neither disclosed details pending board meetings next month	neither disclosed details
Traders can vary their strategies and execute their orders in any one of them	The Maybelline beauty product line had higher sales following a sluggish first half	the maybelline beauty product line had higher sales
Accepted theories state that investors require higher returns on riskier investments	The average recession lasts about a year	the average recession lasts a year
The two are also signing a trade agreement	We cruise toward another set of pilings	we cruise
The reputed wealth of the Unification Church is another matter of contention	Some funds are posting yields far higher than the average	some funds are
But readers may well feel the pangs of recognition	They talked of the home run	they talked of
They did me some good	Major European auction houses are turning increasingly to specialized sales	major european auction houses are turning to sales
These revised figures also may explain some of the recent strength of the dollar	West German bond prices ended lower after a day of aimless trading	west german bond prices ended
All three funds posted negative returns for the year to date	Japanese government bonds showed little change	japanese government bonds showed
He reset opening arguments for today	Market Data Retrieval is a compiler of educational information and provides related services	market data retrieval is a compiler
The completion of the merger agreement follows months of twists and turns	Mazda makes the Tracer for Ford	mazda makes
The infusion of activists can bring a clash of cultures	Both figures were record highs	both figures were record
United Illuminating also amended its rate plan	The figures are at seasonally adjusted annual rates in trillions of dollars	the figures are at seasonally adjusted
The mining zone has thus remained one of the most desolate places in Africa	But its stock jumped again yesterday as it disclosed surprisingly strong margins on those sales	but its stock jumped again yesterday as it disclosed surprisingly strong margins
The ultimate hope is that the technique could identify diseased vessels	Other network applications have very different goals	other network applications have goals
