demonstration	test_sentence	response
Four of those insiders sold more than half their holdings	The market is still very touchy about rumors and news on pending takeovers	the market is
Their effort has received a lukewarm response from the Justice Department	But junk bonds took more hits	but junk bonds took
He has too readily swallowed the case for the activist law school culture	This of course led to disaster in New York City	this of course led to
Parts are a tragedy	That went over the permissible line for warm and fuzzy feelings	that went over
That structural lack is crucial because investors are the only source of market liquidity	But its stock jumped again yesterday as it disclosed surprisingly strong margins on those sales	but its stock jumped again yesterday as it disclosed
Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	He said that the research team had no financial stake in the drug	he said that the research team had
Fog shrouded the base before touchdown	The company is facing a takeover proposal from the financier Sir James Goldsmith	the company is from the financier sir james goldsmith
The above represents a triumph of either apathy or civility	Nausea seems a commonplace symptom	nausea seems
Analysts expect others to show a similar pattern	But there are no scientific data on this question	but there are no
The woman won the bet	No one has alleged that the donations were by themselves illegal	no one has alleged
Los Angeles will be the site of a new entertainment division for the ad agency	The plan lacked a withdrawal timetable	the plan lacked
All of the bidders contemplate full payment including interest to secured creditors	The Pentagon is a haunted house	the pentagon is
The challengers will have a big price advantage	The pocketbook impact of health benefits has driven business and labor to a surprising consensus	the pocketbook impact of health benefits has
Both companies will replace the oil filler cap with a ventilated oil filler cap	But such a combination also presents great risks	but such a combination also presents
The issue here may be the soundness of the guarantee	He no longer crowds the plate	he no longer crowds
It also lowered some air fares	This is football country	this is
Employees wore identification badges listing not only their names but also their dates of hire	Only the bravest spirits survive such roller coasters	only the bravest spirits survive
He ticks off several major differences between now and two years ago	Compound yields assume reinvestment of dividends and that current yields continue for a year	compound yields assume
Estimated volume was five million ounces	The engine plant may encompass plans for a joint components venture with Jaguar	the engine plant may encompass
The company could command a good price in the market	Stock prices edged up in quiet trading Friday	fail to follow
She held her fire with her first production at the Trinity earlier this season	Each company worries that the other is becoming too powerful and too vertically integrated	each company worries that the other is too powerful and too vertically integrated
She had an idea	Institutional buyers were the main force pushing blue chips higher	institutional buyers were
The deal would require approval by a majority of Jaguar shareholders	The expansion is subject to approval by federal and Wisconsin environmental regulators	the expansion is
Most analysts had expected a sharper decline after the steep rise in August	Size and weight considerations also have limited screen displays	size and weight considerations also have
