demonstration	test_sentence	response
Those include Rhin et Moselle Vie and Via Assurances	That has outraged some fans	that has outraged
The team then proposed modifications in their work process to management	Labor problems top the list	labor problems top
But the firm also tracks smaller technology companies as a subset of the larger group	These people have different agendas	these people have
An analyst cited weaker capital spending and exports	Two more securities firms bowed to the outcry over program trading	two more securities firms bowed over program trading
The relative calm in Tokyo proved little comfort to markets opening up in Europe	Accepted theories of asset pricing offer a perfectly legitimate explanation	accepted theories of asset pricing offer
But they will have disappointing returns or even losses if interest rates rise instead	But there was one bright spot yesterday	but there was yesterday
An assassin in Colombia killed a federal judge on a Medellin street	Stocks rose slightly as trading activity slowed from the frenzied pace earlier this week	stocks rose slightly
There was no immediate estimate of damage from the company	Such trappings suggest a glorious past but give no hint of a troubled present	such trappings suggest but give
The collagen corneal shield helps speed healing of the cornea after eye surgery	But the move lagged a stronger rise in New York Stock Exchange issues	but the move lagged in new york stock exchange issues
Bosses have big ears these days	Only a few books fell in the reading room	fell in the reading room
It is hoped that other Japanese would then follow the leader	He has too readily swallowed the case for the activist law school culture	he has too readily swallowed
That caused a brief period of panic selling of stocks on the Big Board	Foreign bonds surged as the dollar weakened against most major currencies	foreign bonds surged as the dollar weakened
We had great success in Somalia	The Fed has assumed a similar responsibility in the market for government securities	the fed has assumed in the market for government securities
He softened the talk about a recession	The bank is now aggressively marketing retail services at its domestic branches	the bank is now aggressively marketing at its domestic branches
The robberies also have set off a controversy involving the airlines	And transfer control of much of it to Capitol Hill	and transfer control of
She had an idea	The project has been in and out of the pipeline for more than a decade	the project has been in and out of for more than a decade
Chandler might have been predicting the course of his own career	Their report galvanized other molecular biologists	their report galvanized
They note that stocks experienced volatile swings long before futures	There are a few ramshackle fishing towns with quiet atolls of resort houses nearby	there are with quiet atolls of resort houses nearby
He got three trucks and a backhoe cheap	It also lowered some air fares	it also lowered
British government bonds surged on renewed volatility in the stock market	But there is no solid evidence that the Khmer Rouge have changed	but there is the khmer rouge have changed
Canadian investment rules require that big foreign takeovers meet that standard	There will be recreation and movie rooms	there will be
He withdrew the remark	He was only the sixth federal judge ever ousted from office after an impeachment trial	he was only after an impeachment trial
He had been associate professor in the department of finance at Seton Hall University	Successful American business owners do the same thing	successful american business owners do
Continental Air replaced its top executive for the sixth time in as many years	Their ridicule of him is no substitute for argument	their ridicule of him is
