demonstration	test_sentence	response
The old man feeds the stray cat	The accident happened on Saturday night	the accident happened
Most people respect this great leader	His glasses lie on the bedside table	his glasses lie
City dwellers crave a quiet countryside life	The rare artifact stays in the secured vault	the rare artifact stays
His father ran a construction company	The fragile vase stays on the top shelf	the fragile vase stays
Local residents appreciate the beautiful park	The young boy looks at the toy store window	the young boy looks
Some institutional traders loved the wild ride	The small boat stays in the calm lake	the small boat stays
The local community supports our fundraising event	The old map points to a hidden treasure	the old map points
Pension reform was its main thrust	Most people live in rural areas	most people live
The diligent student learns her lessons	the rest students sat on the ground	the rest students sat
Prospective competition is one problem	Many squirrels live in the oak tree	many squirrels live
Their enthusiastic coach trains the young team	The secret letter lies on the old wooden desk	the secret letter lies
Her father protects the family	the old guests sat at the dinner table	the old guests sat
Many law firms sponsor their own programs	the old man looked at the window	the old man looked
Rising operating expenses are another problem	The little girl walks towards the living room	the little girl walks
Accounting problems raise more knotty issues	His family lived in an old farmhouse	his family lived in
Potential side effects include high blood pressure	A surprising revelation happened on their wedding anniversary	a surprising revelation happened  on
The urban children receive free education	The story begins in a small town	the story begins in
This beautiful painting evokes strong emotions	His parents rushed to his side	his parents rushed
My friends cherish our high school memories	The golden treasure lies in the dense jungle	the golden treasure lies
The young girl loves her new toy	The bird rests on the sturdy branch	the bird rests
My little brother enjoys this interesting game	The thick essay lies on the shelf	the thick essay lies on
Our friendly neighbor shares his delicious food	The road sign points to the nearest exit	the road sign points
The suit seeks unspecified damages	His father died of a heart attack	his father died
These people have different agendas	A picture hangs at his study	a picture hangs
