demonstration	test_sentence	response
City dwellers crave a quiet countryside life	The rare artifact stays in the secured vault	The rare artifact stays
Most people respect this great leader	The bird rests on the sturdy branch	The bird rests
Prospective competition is one problem	the old guests sat at the dinner table	the old guests sat
Local residents appreciate the beautiful park	The accident happened on Saturday night	The accident happened.
Accounting problems raise more knotty issues	Most people live in rural areas	Most people live
Pension reform was its main thrust	The road sign points to the nearest exit	The road sign points to
The young girl loves her new toy	The golden treasure lies in the dense jungle	The golden treasure lies
My little brother enjoys this interesting game	A surprising revelation happened on their wedding anniversary	Asurprising revelation happened
Your father deserves a vacation	The thick essay lies on the shelf	The thick essay lies
Some institutional traders loved the wild ride	The little girl walks towards the living room	The little girl walks
The suit seeks unspecified damages	A full moon appeared in the dark night sky	A full moon appeared
His father ran a construction company	A gentleman walks towards the bustling cafe	A gentleman walks
The federal judge granted a temporary restraining order	His glasses lie on the bedside table	His glasses lie
Their enthusiastic coach trains the young team	The students look at the complex equation	The students look at
Many law firms sponsor their own programs	The fragile vase stays on the top shelf	The fragile vase stays
The diligent student learns her lessons	The old map points to a hidden treasure	The old map points to
Our friendly neighbor shares his delicious food	A lost puppy walks towards the city park	A lost puupy walks towards
These people have different agendas	the old man looked at the window	the old man looked at
Rising operating expenses are another problem	His parents rushed to his side	His parents rushed
The plan lacked a withdrawal timetable	The great artist died from a serious illness	The great artist died
Potential side effects include high blood pressure	Many squirrels live in the oak tree	Many squirrels live
The old man feeds the stray cat	The young boy looks at the toy store window	The young boy looks at
My friends cherish our high school memories	His father died of a heart attack	His father died
This boy needs your help	The small boat stays in the calm lake	The small boat stays
