demonstration	test_sentence	response
Your father deserves a vacation	His parents rushed to his side	His parents rushed
Rising operating expenses are another problem	The rare artifact stays in the secured vault	The rare artifact stays
Our friendly neighbor shares his delicious food	Many squirrels live in the oak tree	Many squirrels live
This boy needs your help	The secret letter lies on the old wooden desk	The secret letter lies.
Hostile takeovers are quite a new phenomenon	The bird rests on the sturdy branch	The sturdy branch the bird rests on.
The young girl loves her new toy	The accident happened on Saturday night	The accident happened.
The suit seeks unspecified damages	A gentleman walks towards the bustling cafe	A gentleman walks.
The plan lacked a withdrawal timetable	The old map points to a hidden treasure	The old map points.
This beautiful painting evokes strong emotions	His glasses lie on the bedside table	His glasses lie.
My friends cherish our high school memories	The golden treasure lies in the dense jungle	The golden treasure lies.
Two election commission members opposed the matching plans	A picture hangs at his study	A picture hangs.
Many law firms sponsor their own programs	The fresh linens lie in the laundry basket	The fresh linens lie.
Her father protects the family	The road sign points to the nearest exit	The road sign points.
The urban children receive free education	A full moon appeared in the dark night sky	A full moon appeared.
The diligent student learns her lessons	the rest students sat on the ground	the rest students sat.
The old man feeds the stray cat	The fragile vase stays on the top shelf	The fragile vase stays.
City dwellers crave a quiet countryside life	The little girl walks towards the living room	The little girl walks.
Prospective competition is one problem	His father died of a heart attack	His father died.
Most people respect this great leader	the old man looked at the window	the old man looked.
Local residents appreciate the beautiful park	The young boy looks at the toy store window	The young boy looks.
These people have different agendas	His family lived in an old farmhouse	His family lived.
The federal judge granted a temporary restraining order	the old guests sat at the dinner table	the old guests sat.
Some institutional traders loved the wild ride	Most people live in rural areas	Most people live.
My little brother enjoys this interesting game	The great artist died from a serious illness	The great artist died.
