demonstration	test_sentence	response
Local residents appreciate the beautiful park	the rest students sat on the ground	the rest students sat
Potential side effects include high blood pressure	The fragile vase stays on the top shelf	The fragile vase stays
Rising operating expenses are another problem	The young boy looks at the toy store window	The young boy looks
The federal judge granted a temporary restraining order	The rare artifact stays in the secured vault	The rare artifact stays
The diligent student learns her lessons	The golden treasure lies in the dense jungle	The golden treasure lies
Their enthusiastic coach trains the young team	The fresh linens lie in the laundry basket	The fresh linens lie
The urban children receive free education	The old map points to a hidden treasure	The old map points
Pension reform was its main thrust	The small boat stays in the calm lake	The small boat stays
The plan lacked a withdrawal timetable	A picture hangs at his study	A picture hangs
Accounting problems raise more knotty issues	His family lived in an old farmhouse	His family lived
Most people respect this great leader	the old man looked at the window	the old man looked
Many law firms sponsor their own programs	The students look at the complex equation	The students look
Some institutional traders loved the wild ride	The great artist died from a serious illness	The great artist died
The young girl loves her new toy	His glasses lie on the bedside table	His glasses lie
This boy needs your help	The little girl walks towards the living room	The little girl walks
My little brother enjoys this interesting game	The story begins in a small town	The story begins
Hostile takeovers are quite a new phenomenon	The secret letter lies on the old wooden desk	The secret letter lies
Our friendly neighbor shares his delicious food	The accident happened on Saturday night	The accident happened
These people have different agendas	The road sign points to the nearest exit	The road sign points
Prospective competition is one problem	His father died of a heart attack	His father died
City dwellers crave a quiet countryside life	A gentleman walks towards the bustling cafe	A gentleman walks
Two election commission members opposed the matching plans	The thick essay lies on the shelf	The thick essay lies
The suit seeks unspecified damages	the old guests sat at the dinner table	the old guests sat
His father ran a construction company	His parents rushed to his side	His parents rushed
