demonstration	test_sentence	response
The local community supports our fundraising event	The students look at the complex equation	The students look.
Two election commission members opposed the matching plans	His family lived in an old farmhouse	His family lived.
Local residents appreciate the beautiful park	The fragile vase stays on the top shelf	The fragile vase stays.
This beautiful painting evokes strong emotions	The road sign points to the nearest exit	The road sign points.
His father ran a construction company	His father died of a heart attack	His father died.
Hostile takeovers are quite a new phenomenon	The great artist died from a serious illness	The great artist died.
Potential side effects include high blood pressure	A surprising revelation happened on their wedding anniversary	A surprising revelation happened.
Their enthusiastic coach trains the young team	The thick essay lies on the shelf	The thick essay lies.
Your father deserves a vacation	A lost puppy walks towards the city park	A lost puppy walks.
Accounting problems raise more knotty issues	His parents rushed to his side	His parents rushed.
The plan lacked a withdrawal timetable	The bird rests on the sturdy branch	The bird rests.
These people have different agendas	The secret letter lies on the old wooden desk	The bird rests.
Prospective competition is one problem	The fresh linens lie in the laundry basket	The fresh linens lie.
Her father protects the family	the old man looked at the window	The old man looked.
Pension reform was its main thrust	Many squirrels live in the oak tree	Many squirrels live.
The urban children receive free education	A full moon appeared in the dark night sky	A full moon appeared.
My little brother enjoys this interesting game	The young boy looks at the toy store window	The young boy looks.
The federal judge granted a temporary restraining order	the old guests sat at the dinner table	The old guests sat.
Rising operating expenses are another problem	A gentleman walks towards the bustling cafe	A gentleman walks.
The suit seeks unspecified damages	His glasses lie on the bedside table	His glasses lie.
This boy needs your help	The small boat stays in the calm lake	The small boat stays.
The old man feeds the stray cat	The accident happened on Saturday night	The accident happened.
Some institutional traders loved the wild ride	The golden treasure lies in the dense jungle	The golden treasure lies.
My friends cherish our high school memories	Most people live in rural areas	Most people live.
