original	label	prediction
Many squirrels live in the oak tree	many squirrels live in the oak tree	many squirrels live
The golden treasure lies in the dense jungle	the golden treasure lies in the dense jungle	the golden treasure lies
His glasses lie on the bedside table	his glasses lie on the bedside table	his glasses lie
A gentleman walks towards the bustling cafe	a gentleman walks towards the bustling cafe	a gentleman walks towards
The great artist died from a serious illness	the great artist died from a serious illness	the great artist died
His parents rushed to his side	his parents rushed to his side	his parents rushed
Most people live in rural areas	Most people live in	most people live
The road sign points to the nearest exit	the road sign points to the nearest exit	the road sign points
A picture hangs at his study	a picture hangs at his study	a picture hangs
the old man looked at the window	the old man looked at the window	the old man looked
The accident happened on Saturday night	The accident happened on	the accident happened
The bird rests on the sturdy branch	the bird rests on the sturdy branch	the bird rests
The fresh linens lie in the laundry basket	the fresh linens lie in the laundry basket	the fresh linens lie
The fresh linens lie in the laundry basket	the fresh linens lie in the laundry basket	the fresh linens lie
the rest students sat on the ground	the rest students sat on	the rest students sat
the rest students sat on the ground	the rest students sat on	the rest students sat
The secret letter lies on the old wooden desk	the secret letter lies on the old wooden desk	the secret letter lies
Many squirrels live in the oak tree	many squirrels live in the oak tree	many squirrels live
Many squirrels live in the oak tree	many squirrels live in the oak tree	many squirrels live
The rare artifact stays in the secured vault	the rare artifact stays in the secured vault	the rare artifact
Most people live in rural areas	Most people live in	most people live
the old man looked at the window	the old man looked at the window	the old man
His parents rushed to his side	his parents rushed to his side	his parents rushed
The old map points to a hidden treasure	the old map points to a hidden treasure	the old map points
