original	label	prediction
Most people live in rural areas	Most people live in	most people live
The bird rests on the sturdy branch	the bird rests on the sturdy branch	fail to follow
A full moon appeared in the dark night sky	a full moon appeared in the dark night sky	a full moon appeared
The bird rests on the sturdy branch	the bird rests on the sturdy branch	fail to follow
The small boat stays in the calm lake	the small boat stays in the calm lake	the small boat stays
The thick essay lies on the shelf	the thick essay lies on the shelf	the thick essay lies
The rare artifact stays in the secured vault	the rare artifact stays in the secured vault	the rare artifact stays
the rest students sat on the ground	the rest students sat on	the rest students sat
The young boy looks at the toy store window	the young boy looks at the toy store window	the young boy looks
the old man looked at the window	the old man looked at the window	the old man looked
A gentleman walks towards the bustling cafe	a gentleman walks towards the bustling cafe	a gentleman walks
Many squirrels live in the oak tree	many squirrels live in the oak tree	many squirrels live
The road sign points to the nearest exit	the road sign points to the nearest exit	the road sign points
A gentleman walks towards the bustling cafe	a gentleman walks towards the bustling cafe	a gentleman walks
His father died of a heart attack	His father died of	his father died
His parents rushed to his side	his parents rushed to his side	his parents rushed
The fragile vase stays on the top shelf	the fragile vase stays on the top shelf	the fragile vase stays
His parents rushed to his side	his parents rushed to his side	his parents rushed
The students look at the complex equation	the students look at the complex equation	the students look at
The young boy looks at the toy store window	the young boy looks at the toy store window	the young boy looks
The fresh linens lie in the laundry basket	the fresh linens lie in the laundry basket	the fresh linens lie
The students look at the complex equation	the students look at the complex equation	the students look
His family lived in an old farmhouse	His family lived in	his family lived
The students look at the complex equation	the students look at the complex equation	the students look at
