original	label	prediction
The thick essay lies on the shelf	the thick essay lies on the shelf	the thick essay lies
A full moon appeared in the dark night sky	a full moon appeared in the dark night sky	a full moon appeared
A picture hangs at his study	a picture hangs at his study	a picture hangs
The rare artifact stays in the secured vault	the rare artifact stays in the secured vault	the rare artifact stays
the old guests sat at the dinner table	the old guests sat at the dinner table	the old guests sat
The golden treasure lies in the dense jungle	the golden treasure lies in the dense jungle	the golden treasure lies
the old guests sat at the dinner table	the old guests sat at the dinner table	the old guests sat
The great artist died from a serious illness	the great artist died from a serious illness	the great artist died
His family lived in an old farmhouse	His family lived in	his family lived
The young boy looks at the toy store window	the young boy looks at the toy store window	the young boy looks
The thick essay lies on the shelf	the thick essay lies on the shelf	the thick essay lies
The story begins in a small town	the story begins in a small town	the story begins
The rare artifact stays in the secured vault	the rare artifact stays in the secured vault	the rare artifact stays
the rest students sat on the ground	the rest students sat on	the rest students sat
His parents rushed to his side	his parents rushed to his side	his parents rushed
His father died of a heart attack	His father died of	his father died
The great artist died from a serious illness	the great artist died from a serious illness	the great artist died
The little girl walks towards the living room	the little girl walks towards the living room	the little girl walks
His family lived in an old farmhouse	His family lived in	his family lived
The little girl walks towards the living room	the little girl walks towards the living room	the little girl walks
The small boat stays in the calm lake	the small boat stays in the calm lake	the small boat stays
The great artist died from a serious illness	the great artist died from a serious illness	the great artist died
A full moon appeared in the dark night sky	a full moon appeared in the dark night sky	a full moon appeared
A surprising revelation happened on their wedding anniversary	a surprising revelation happened on their wedding anniversary	a surprising revelation happened
