original	label	prediction
A lost puppy walks towards the city park	a lost puppy walks towards the city park	fail to follow
His father died of a heart attack	His father died of	his father died
A lost puppy walks towards the city park	a lost puppy walks towards the city park	a lost puppy walks
A full moon appeared in the dark night sky	a full moon appeared in the dark night sky	a full moon appeared
The thick essay lies on the shelf	the thick essay lies on the shelf	the thick essay lies
the old man looked at the window	the old man looked at the window	the old man looked
His glasses lie on the bedside table	his glasses lie on the bedside table	his glasses lie
the old man looked at the window	the old man looked at the window	the old man looked
His glasses lie on the bedside table	his glasses lie on the bedside table	his glasses lie
The golden treasure lies in the dense jungle	the golden treasure lies in the dense jungle	the golden treasure lies
A gentleman walks towards the bustling cafe	a gentleman walks towards the bustling cafe	a gentleman walks towards
the rest students sat on the ground	the rest students sat on	the rest students sat
The fragile vase stays on the top shelf	the fragile vase stays on the top shelf	the fragile vase stays
the old guests sat at the dinner table	the old guests sat at the dinner table	the old guests sat
The old map points to a hidden treasure	the old map points to a hidden treasure	the old map points
Many squirrels live in the oak tree	many squirrels live in the oak tree	many squirrels live
The fresh linens lie in the laundry basket	the fresh linens lie in the laundry basket	the fresh linens lie
His parents rushed to his side	his parents rushed to his side	his parents rushed
The thick essay lies on the shelf	the thick essay lies on the shelf	the thick essay lies
The fresh linens lie in the laundry basket	the fresh linens lie in the laundry basket	the fresh linens lie
The great artist died from a serious illness	the great artist died from a serious illness	the great artist died
The golden treasure lies in the dense jungle	the golden treasure lies in the dense jungle	the golden treasure
His glasses lie on the bedside table	his glasses lie on the bedside table	his glasses
The bird rests on the sturdy branch	the bird rests on the sturdy branch	fail to follow
