original	label	prediction
The fragile vase stays on the top shelf	the fragile vase stays on the top shelf	the fragile vase stays
A lost puppy walks towards the city park	a lost puppy walks towards the city park	a lost puppy
The story begins in a small town	the story begins in a small town	the story begins
A full moon appeared in the dark night sky	a full moon appeared in the dark night sky	a full moon appeared
The golden treasure lies in the dense jungle	the golden treasure lies in the dense jungle	the golden treasure lies
The accident happened on Saturday night	The accident happened on	fail to follow
Many squirrels live in the oak tree	many squirrels live in the oak tree	many squirrels live
The rare artifact stays in the secured vault	the rare artifact stays in the secured vault	the rare artifact stays
The bird rests on the sturdy branch	the bird rests on the sturdy branch	the bird rests on
The fresh linens lie in the laundry basket	the fresh linens lie in the laundry basket	the fresh linens lie
The little girl walks towards the living room	the little girl walks towards the living room	the little girl walks
the rest students sat on the ground	the rest students sat on	the rest students sat
A lost puppy walks towards the city park	a lost puppy walks towards the city park	a lost puppy walks
The great artist died from a serious illness	the great artist died from a serious illness	the great artist died
The little girl walks towards the living room	the little girl walks towards the living room	the little girl walks
His family lived in an old farmhouse	His family lived in	his family lived
His glasses lie on the bedside table	his glasses lie on the bedside table	his glasses lie
The rare artifact stays in the secured vault	the rare artifact stays in the secured vault	the rare artifact stays
The students look at the complex equation	the students look at the complex equation	the students look at
The young boy looks at the toy store window	the young boy looks at the toy store window	the young boy looks
The thick essay lies on the shelf	the thick essay lies on the shelf	the thick essay lies
A picture hangs at his study	a picture hangs at his study	a picture hangs
His glasses lie on the bedside table	his glasses lie on the bedside table	his glasses lie
Most people live in rural areas	Most people live in	most people live
