original	label	prediction
A surprising revelation happened on their wedding anniversary	a surprising revelation happened on their wedding anniversary	a surprising revelation happened
The little girl walks towards the living room	the little girl walks towards the living room	the little girl walks
The old map points to a hidden treasure	the old map points to a hidden treasure	the old map points
The students look at the complex equation	the students look at the complex equation	the students look at
The small boat stays in the calm lake	the small boat stays in the calm lake	the small boat stays
The thick essay lies on the shelf	the thick essay lies on the shelf	the thick essay lies
The road sign points to the nearest exit	the road sign points to the nearest exit	the road sign points
His parents rushed to his side	his parents rushed to his side	his parents rushed
The bird rests on the sturdy branch	the bird rests on the sturdy branch	the bird rests
The story begins in a small town	the story begins in a small town	the story begins
A full moon appeared in the dark night sky	a full moon appeared in the dark night sky	a full moon appeared
The students look at the complex equation	the students look at the complex equation	the students look at
His family lived in an old farmhouse	His family lived in	his family lived
The students look at the complex equation	the students look at the complex equation	the students
A gentleman walks towards the bustling cafe	a gentleman walks towards the bustling cafe	a gentleman walks towards
The accident happened on Saturday night	The accident happened on	the accident happened
The small boat stays in the calm lake	the small boat stays in the calm lake	the small boat stays
the old man looked at the window	the old man looked at the window	the old man
Most people live in rural areas	Most people live in	most people live
The thick essay lies on the shelf	the thick essay lies on the shelf	the thick essay lies
The story begins in a small town	the story begins in a small town	the story begins
The little girl walks towards the living room	the little girl walks towards the living room	fail to follow
The fresh linens lie in the laundry basket	the fresh linens lie in the laundry basket	the fresh linens lie
The fresh linens lie in the laundry basket	the fresh linens lie in the laundry basket	the fresh linens lie
