original	label	prediction
Most people live in rural areas	Most people live in	most people
His father died of a heart attack	His father died of	his father died
The golden treasure lies in the dense jungle	the golden treasure lies in the dense jungle	the golden treasure lies
His father died of a heart attack	His father died of	his father died
The secret letter lies on the old wooden desk	the secret letter lies on the old wooden desk	the secret letter
The bird rests on the sturdy branch	the bird rests on the sturdy branch	the bird rests
The story begins in a small town	the story begins in a small town	the story begins
His father died of a heart attack	His father died of	his father died
A full moon appeared in the dark night sky	a full moon appeared in the dark night sky	a full moon appeared
A gentleman walks towards the bustling cafe	a gentleman walks towards the bustling cafe	a gentleman walks towards
The bird rests on the sturdy branch	the bird rests on the sturdy branch	the bird rests on
The rare artifact stays in the secured vault	the rare artifact stays in the secured vault	the rare artifact stays
A lost puppy walks towards the city park	a lost puppy walks towards the city park	fail to follow
the old man looked at the window	the old man looked at the window	the old man looked
The rare artifact stays in the secured vault	the rare artifact stays in the secured vault	the rare artifact stays
The thick essay lies on the shelf	the thick essay lies on the shelf	the thick essay lies
the old guests sat at the dinner table	the old guests sat at the dinner table	the old guests sat
The bird rests on the sturdy branch	the bird rests on the sturdy branch	the bird rests
The fragile vase stays on the top shelf	the fragile vase stays on the top shelf	the fragile vase stays
Most people live in rural areas	Most people live in	most people live
A full moon appeared in the dark night sky	a full moon appeared in the dark night sky	a full moon appeared
The fresh linens lie in the laundry basket	the fresh linens lie in the laundry basket	the fresh linens lie
The fresh linens lie in the laundry basket	the fresh linens lie in the laundry basket	the fresh linens lie
The road sign points to the nearest exit	the road sign points to the nearest exit	the road sign points
