demonstration	test_sentence	response
Federal Paper Board sells paper and wood products	The struggle over capital gains is the most important game in town	the struggle over capital gains
Ashland had a loss	The suit seeks unspecified damages	the suit seeks unspecified
October is a critical month for the privatization program	Funds for drilling may inch up more next year if oil prices stay stable	funds for drilling next year
The appointments are part of a planned succession at the company	The transaction is subject to a definitive agreement and approval by Ideal shareholders	the transaction is subject to agreement and approval by shareholders
Ashland had a loss	The report suggested that current review programs are too narrow	the report suggested that current review programs
We had great success in Somalia	She has lots of opinions	she has lots
Nobody has any credible estimate	Neither man achieved perfection	neither man
The plan lacked a withdrawal timetable	The company is facing a takeover proposal from the financier Sir James Goldsmith	the company is facing
The bond market was unmoved by the economic statistics	The education establishment will fight against common sense every inch of the way	the education establishment will fight against
The most pressing problem was the suspension of options trading	Advertisers attribute this shared loyalty to the striking similarity among brands	advertisers attribute this
We do not depend on pharmaceutical companies for our support	The agreement is subject to completion of a definitive amendment and appropriate approvals	the agreement is subject to
The commercial was absolutely silent	But lawmakers of both parties agree that the streamlining was temporary	but lawmakers of both parties agree
The outlook for corporate earnings is fairly bleak	The merger requires the approval of Norwegian authorities	the merger requires approval norwegian authorities
The company develops and markets products for the food service industry	We go from one to the other	we go from one to
London shares closed moderately lower in thin trading	Their effort has received a lukewarm response from the Justice Department	their effort received lukewarm response
Loyalty lags most for utilitarian products like trash bags and batteries	The charge on loans to brokers on stock exchange collateral	the charge on loans to brokers on stock exchange
The most pressing problem was the suspension of options trading	His hands sit farther apart on the keyboard	his hands sit
October is a critical month for the privatization program	But the chain is quickly realizing the pitfalls of such endorsements	but the chain
Craig Forman in London contributed to this article	He also mentioned increased capital investment by Pacific Bell for network improvements	pacific bell for network improvements
He expects the price for that product to rise even more next year	The company also faces delisting by the National Association of Securities Dealers	the company also faces by the national association of securities dealers
Athena eventually acquired exclusive rights to the technology and currently is developing it	But the lack of lines became painfully apparent	fail to follow
The company develops and markets products for the food service industry	He is a lawyer with a string of academic degrees	he is a lawyer with a string of
The bond market was unmoved by the economic statistics	The reputed wealth of the Unification Church is another matter of contention	the reputed wealth of the unification church is another matter
He does this in at least three of his solo pieces	People have been very respectful of each other	people respectful of each other
