demonstration	test_sentence	response
Other forms of red tape are more pervasive	Those current holders would also receive minority interests in the new company	current holders also receive minority interests in new company
October is a critical month for the privatization program	Uncertainty dogs every aspect of their lives	uncertainty dogs
Ashland had a loss	The result is mistrust and criticism from all around	the result is mistrust and criticism
An assassin in Colombia killed a federal judge on a Medellin street	The figures occasionally include incomplete transactions in restricted stock	the figures occasionally include incomplete transactions in
The infusion of activists can bring a clash of cultures	The issue here may be the soundness of the guarantee	the issue here may be the guarantee
Radio programs and books have followed the daily television show	Economists expected twice as large an increase	economists expected
Ski promotions have traditionally avoided the touchy issue of safety	Casino revenues and hotel occupancy rates are high	fail to follow
Other network applications have very different goals	But they are stalwart socialists	but they are
Most of the loans in question are to Third World countries in South America	Columbia announced the results after the close of the stock market	fail to follow
Expansion plans also include acquisitions in growing foreign markets	No one around me was saying anything	no one around me was saying
The measure also includes spending cuts and increases in federal fees	The legal fight was the subject of a Wall Street Journal story yesterday	legal fight wall street journal story yesterday
Your story is an insult to the citizens of the Mississippi Delta	Those current holders would also receive minority interests in the new company	those current holders would also receive minority interests in the new
Other magazine publishing companies have been moving in the same direction	This pattern was particularly evident among more highly educated couples	this pattern was particularly evident
The company also faces delisting by the National Association of Securities Dealers	Even the boon to affiliate relations may be limited	even the boon to affiliate relations
Most of the loans in question are to Third World countries in South America	Paintings are just part of the picture	paintings part of picture
But the Rockefeller investment is its largest	So the senators must brace themselves	so the senators must
The Bakersfield Supermarket went out of business last May	Shares of biotechnology companies in the area were also higher	shares of biotechnology companies
Some found it on the screen of a personal computer	The measure also includes spending cuts and increases in federal fees	fail to follow
Analysts expect further jitters this week	Some equipment going to work is almost new	some equipment going to work almost new
President Bush signed a disaster declaration covering seven Northern California counties	The embryo had progressed only to a clump of eight identical cells	the embryo had progressed
It blames most of these on Fatah	He takes over a school system in the midst of radical reform	he takes over school system midst radical reform
The two sides now are accusing each other of lying	The tape was on tv before the night was out	tape tv night
Only a few books fell in the reading room	The takeover mania also adds to volatility	the takeover mania also adds to
Analysts expect further jitters this week	The states have their own ideas about regulation and certification	the states have their own ideas
