demonstration	test_sentence	response
这个牌子的衣服质量非常好	我们现在客户需要这类的图书	现在需要这类的图书
最好我们以后能在一个编辑室	酷狗才是神器	酷狗才是
我今年年初开始也白头发了	你往我家打电话了	你打电话了
雇主雇员应订定暴雨下工作守则	你给我报个价吧	你给我报吧
父母都在事业单位工作	他从楼上摔下来生死未卜我很难过	他生死未卜我很难过
今年是第三年	小孩教育真是一门大学问	小孩教育真是
一张胶片多少钱大概	那些几百几百的又不好看	那些又不好看
方向和汽车应该没什么关系	人家不觉的咱那是对她好	人家不觉得对她好
我周一还跟他扯了一会	她精力就不会集中在那个	她精力就不会集中
我一直但是这个事情	他老说有些人的性格要改了	他老说性格要改了
我扭到最大	他从楼上摔下来生死未卜我很难过	我很难过
男人不差在别的地方	你去给我带个眼霜	你去
我查了那是个退税公司	你啥时候走	你啥时候
我还在网上败但现在多在商场	我妈在家里做也很受欢迎	我妈做也很受欢迎
那个和医院没有关系	那不是跟以前差不多的	那不是差不多的
那你在群里说说	我到时候去跟他一起做事先	我到时候做事先
你在梦里陪我吧	那你的心还是在情绪里	那你的新还是在
正好我也有空在家照顾他	我是给我爱人定的	我是给爱人定的
你在那公司里做过吧	整个国家公园都建在一个活火山上	整个国家公园都建在上
但是公司有营销策划部门	最多你是多买一个保险	最多你是多买
我们只是公司的一个部门	你办个招行和广发的就行	你办个就行
我知道那个地方	行李放在车上	行李放
我爸今天突然跟我说	她精力就不会集中在那个	她精力就不会集中
这是互相的	关键是他的英语水平跟我一样	他的英语水平跟
