demonstration	test_sentence	response
你的语文是不是很差	现在这些男的真是	现在男的真是
我还有点佩服你师傅这样的人	你英文版的在哪儿	你英文在哪儿
户口下月才能迁	我可能是周六早到	我可能是早到
小孩教育真是一门大学问	我都得耻骨联合分离症了	我都得。
我从小跟她学的	思八达是不是离你家很近	思八达是不是很近
那我早上来图书馆跟你碰头好了	他们可能是通过其他渠道知道的	他们可能是知道的
这个网站我邻居家就开这个的	但是那个箱子质量好	但是箱子质量好
那个女孩挺不错的	这个公寓楼就是酒店式那种的	公寓楼就是酒店式那种的。
你要告诉我英文名	我怎么觉得我有点晚睡强迫症	我怎么觉得我有点
我们公司的宣传册出了	但是防腐剂什么的少	但是什么的少
你的光环是你自己的	一个孩子的家庭太脆弱了	一个孩子的家庭太了
我给你找找	我看风格和梵西有些像	我和梵西有些像
我刚去看了一下所谓的米和油	事儿妈神马的最讨厌了	事儿妈最讨厌了
我哪有什么关系	我先管好自己吧	我先管好
这个要熊猫的那个	这个是耳鼻喉科的手术申请单	这个是手术申请单
我可烦俺公公了	他们刚开会酒店分析会	他们刚开会
你看我的签名	你又怎么惹他了	你又怎么惹了
我的活来了	你要是个男的就好了	男的就好了
他中文比英文好	我是为你好	我是好
我姐姐说她都这把年纪了	你说你们这届的	你说你们届的
哥在偷偷得跟你聊天	我回去用电脑看看	我回去看看
内置的很多天线厂都有	我的空间里面的相册中你看看	里面的相册中你看看
我倒是没有考虑过这个问题	这个是耳鼻喉科的手术申请单	这个是耳鼻喉科的
你什么时候打的电话	你同学在哪家医院的	你同学的
