demonstration	test_sentence	response
Some institutional traders loved the wild ride	A lost puppy walks towards the city park	A lost puppy walks
These people have different agendas	The thick essay lies on the shelf	The thick essay lies
The diligent student learns her lessons	His father died of a heart attack	His father died
The local community supports our fundraising event	His glasses lie on the bedside table	His glasses lie
The plan lacked a withdrawal timetable	The students look at the complex equation	The students look
The federal judge granted a temporary restraining order	The young boy looks at the toy store window	The young boy looks
Prospective competition is one problem	His parents rushed to his side	His parents rushed
Your father deserves a vacation	The fresh linens lie in the laundry basket	The fresh linens lie
Potential side effects include high blood pressure	His family lived in an old farmhouse	His family lived
Her father protects the family	The fragile vase stays on the top shelf	The fragile vase stays
Their enthusiastic coach trains the young team	The accident happened on Saturday night	The accident happened
Most people respect this great leader	the rest students sat on the ground	the rest students sat
Pension reform was its main thrust	The golden treasure lies in the dense jungle	The golden treasure lies
My little brother enjoys this interesting game	The great artist died from a serious illness	The great artist died
Our friendly neighbor shares his delicious food	The little girl walks towards the living room	The little girl walks towards
Hostile takeovers are quite a new phenomenon	Many squirrels live in the oak tree	Many squirrels live in
Many law firms sponsor their own programs	The small boat stays in the calm lake	The small boat stays
Accounting problems raise more knotty issues	the old guests sat at the dinner table	the old guests sat
City dwellers crave a quiet countryside life	A gentleman walks towards the bustling cafe	A gentleman walks towards
The urban children receive free education	A full moon appeared in the dark night sky	A full moon appeared
The young girl loves her new toy	The secret letter lies on the old wooden desk	The secret letter lies on
My friends cherish our high school memories	The story begins in a small town	The story begins
His father ran a construction company	A surprising revelation happened on their wedding anniversary	A surprising revelation happened on
Rising operating expenses are another problem	The old map points to a hidden treasure	The old map points
