demonstration	test_sentence	response
His father ran a construction company	The thick essay lies on the shelf	The thick essay lies
Potential side effects include high blood pressure	The small boat stays in the calm lake	The small boat stays
Your father deserves a vacation	The accident happened on Saturday night	The accident happened
These people have different agendas	Most people live in rural areas	Most people live
Pension reform was its main thrust	A gentleman walks towards the bustling cafe	A gentleman walks
The local community supports our fundraising event	The great artist died from a serious illness	The great artist died
Our friendly neighbor shares his delicious food	His family lived in an old farmhouse	His family lived
Many law firms sponsor their own programs	His glasses lie on the bedside table	His glasses lie
The old man feeds the stray cat	The fresh linens lie in the laundry basket	The fresh linens lie
Prospective competition is one problem	the old man looked at the window	the old man looked
The plan lacked a withdrawal timetable	The road sign points to the nearest exit	The road sign points
Some institutional traders loved the wild ride	The old map points to a hidden treasure	The old map points
The urban children receive free education	Many squirrels live in the oak tree	Many squirrels live
The federal judge granted a temporary restraining order	The fragile vase stays on the top shelf	The fragile vase stays
Most people respect this great leader	The rare artifact stays in the secured vault	The rare artifact stays
Their enthusiastic coach trains the young team	A picture hangs at his study	A picture hangs
My little brother enjoys this interesting game	A lost puppy walks towards the city park	'A lost puppy walks
The diligent student learns her lessons	A surprising revelation happened on their wedding anniversary	A surprising revelation happened
This beautiful painting evokes strong emotions	The secret letter lies on the old wooden desk	The secret letter lies
My friends cherish our high school memories	the old guests sat at the dinner table	the old guests sat
Rising operating expenses are another problem	the rest students sat on the ground	the rest students sat
Her father protects the family	The little girl walks towards the living room	The little girl walks
Hostile takeovers are quite a new phenomenon	The young boy looks at the toy store window	The young boy looks
The young girl loves her new toy	His parents rushed to his side	His parents rushed
