demonstration	test_sentence	response
The federal judge granted a temporary restraining order	His family lived in an old farmhouse	His family lived.
City dwellers crave a quiet countryside life	A surprising revelation happened on their wedding anniversary	A surprising revelation happened.
The diligent student learns her lessons	Many squirrels live in the oak tree	Many squirrels live in.
Their enthusiastic coach trains the young team	The little girl walks towards the living room	The little girl walks towards.
Hostile takeovers are quite a new phenomenon	The secret letter lies on the old wooden desk	The secret letter lies.
The urban children receive free education	The road sign points to the nearest exit	The road sign points.
The local community supports our fundraising event	the old man looked at the window	the old man looked.
My friends cherish our high school memories	the old guests sat at the dinner table	the old guests sat.
This boy needs your help	The young boy looks at the toy store window	The young boy looks.
Some institutional traders loved the wild ride	A picture hangs at his study	A picture hangs.
Your father deserves a vacation	His father died of a heart attack	His father died.
His father ran a construction company	The fresh linens lie in the laundry basket	The fresh linens lie.
The suit seeks unspecified damages	The story begins in a small town	The story begins.
Pension reform was its main thrust	A full moon appeared in the dark night sky	A full moon appeared.
The plan lacked a withdrawal timetable	Most people live in rural areas	Most people live.
These people have different agendas	The students look at the complex equation	The students look.
The old man feeds the stray cat	A gentleman walks towards the bustling cafe	A gentleman walks.
Prospective competition is one problem	His glasses lie on the bedside table	His glasses lie.
The young girl loves her new toy	The rare artifact stays in the secured vault	The rare artifact stays.
Most people respect this great leader	The great artist died from a serious illness	The great artist died.
Many law firms sponsor their own programs	His parents rushed to his side	His parents rushed.
This beautiful painting evokes strong emotions	The accident happened on Saturday night	The accident happened.
Rising operating expenses are another problem	The bird rests on the sturdy branch	The bird rests.
Our friendly neighbor shares his delicious food	The golden treasure lies in the dense jungle	The golden treasure lies.
