demonstration	test_sentence	response
This beautiful painting evokes strong emotions	The fresh linens lie in the laundry basket	The fresh linens lie in
Hostile takeovers are quite a new phenomenon	A gentleman walks towards the bustling cafe	A gentleman walks towards
The urban children receive free education	The students look at the complex equation	The students look at
Most people respect this great leader	A full moon appeared in the dark night sky	A full moon appeared
The federal judge granted a temporary restraining order	Many squirrels live in the oak tree	Many squirrels live
The suit seeks unspecified damages	A picture hangs at his study	A picture hangs
These people have different agendas	The golden treasure lies in the dense jungle	The golden treasure lies in
Local residents appreciate the beautiful park	The road sign points to the nearest exit	The road sign points to
The old man feeds the stray cat	His family lived in an old farmhouse	His family lived in
Many law firms sponsor their own programs	His glasses lie on the bedside table	His glasses lie on
Our friendly neighbor shares his delicious food	Most people live in rural areas	Most people live in
The diligent student learns her lessons	The story begins in a small town	The story begins
Their enthusiastic coach trains the young team	The secret letter lies on the old wooden desk	The secret letter lies on
Accounting problems raise more knotty issues	The accident happened on Saturday night	The accident happened
Potential side effects include high blood pressure	His parents rushed to his side	His parents rushed to
This boy needs your help	The great artist died from a serious illness	The great artist died
My friends cherish our high school memories	The bird rests on the sturdy branch	The bird rests
His father ran a construction company	the rest students sat on the ground	the rest students sat
My little brother enjoys this interesting game	The fragile vase stays on the top shelf	The fragile vase stays
Rising operating expenses are another problem	His father died of a heart attack	His father died
Pension reform was its main thrust	A surprising revelation happened on their wedding anniversary	A surprising revelation happened
Two election commission members opposed the matching plans	The small boat stays in the calm lake	The small boat stays
The young girl loves her new toy	The little girl walks towards the living room	The little girl walks towards
Some institutional traders loved the wild ride	The rare artifact stays in the secured vault	The rare artifact stays
