demonstration	test_sentence	response
Rising operating expenses are another problem	A picture hangs at his study	A picture hangs
The urban children receive free education	A full moon appeared in the dark night sky	A full moon appeared
City dwellers crave a quiet countryside life	His parents rushed to his side	His parents rushed to
Accounting problems raise more knotty issues	Many squirrels live in the oak tree	Many squirrels live in
My little brother enjoys this interesting game	Most people live in rural areas	Most people live in
This beautiful painting evokes strong emotions	the old guests sat at the dinner table	the old guests sat at
His father ran a construction company	The bird rests on the sturdy branch	The bird rests
Her father protects the family	A surprising revelation happened on their wedding anniversary	A surprising revelation happened
Hostile takeovers are quite a new phenomenon	The thick essay lies on the shelf	The thick essay lies
Your father deserves a vacation	the rest students sat on the ground	the rest students sat
Two election commission members opposed the matching plans	The road sign points to the nearest exit	The road sign points to
The suit seeks unspecified damages	The young boy looks at the toy store window	The young boy looks at
Many law firms sponsor their own programs	His glasses lie on the bedside table	His glasses lie 
The young girl loves her new toy	His family lived in an old farmhouse	His family lived in
Our friendly neighbor shares his delicious food	The secret letter lies on the old wooden desk	The secret letter lies
Prospective competition is one problem	The rare artifact stays in the secured vault	The rare artifact stays
This boy needs your help	The students look at the complex equation	The students look at
The old man feeds the stray cat	A lost puppy walks towards the city park	A lost puppy walks
Most people respect this great leader	The golden treasure lies in the dense jungle	The golden treasure lies
Pension reform was its main thrust	The story begins in a small town	The story begins
The local community supports our fundraising event	The old map points to a hidden treasure	The old map points to
Some institutional traders loved the wild ride	The little girl walks towards the living room	The little girl walks
The plan lacked a withdrawal timetable	The accident happened on Saturday night	The accident happened
Potential side effects include high blood pressure	The great artist died from a serious illness	The great artist died from
