demonstration	test_sentence	response
My little brother enjoys this interesting game	The great artist died from a serious illness	The great artist died
Some institutional traders loved the wild ride	The story begins in a small town	The story begins
Accounting problems raise more knotty issues	The bird rests on the sturdy branch	The bird rests
Pension reform was its main thrust	The golden treasure lies in the dense jungle	The golden treasure lies
The suit seeks unspecified damages	The fragile vase stays on the top shelf	The fragile vase stays
Potential side effects include high blood pressure	The road sign points to the nearest exit	The road sign points
Many law firms sponsor their own programs	the old man looked at the window	the old man looked at
His father ran a construction company	the rest students sat on the ground	the rest students sat
Two election commission members opposed the matching plans	the old guests sat at the dinner table	the old guests sat
This boy needs your help	His father died of a heart attack	His father died
Most people respect this great leader	A gentleman walks towards the bustling cafe	A gentleman walks towards
Her father protects the family	The small boat stays in the calm lake	The small boat stays
Rising operating expenses are another problem	A full moon appeared in the dark night sky	A full moon appeared
The federal judge granted a temporary restraining order	A surprising revelation happened on their wedding anniversary	A surprising revelation happened
The diligent student learns her lessons	A picture hangs at his study	A picture hangs
The plan lacked a withdrawal timetable	Many squirrels live in the oak tree	Many squirrels live
These people have different agendas	The students look at the complex equation	The students look at
Local residents appreciate the beautiful park	The little girl walks towards the living room	The little girl walks towards
The young girl loves her new toy	The thick essay lies on the shelf	The thick essay lies
City dwellers crave a quiet countryside life	The secret letter lies on the old wooden desk	The secret letter lies
Their enthusiastic coach trains the young team	His family lived in an old farmhouse	His family lived
Prospective competition is one problem	The rare artifact stays in the secured vault	The rare artifact stays
My friends cherish our high school memories	The fresh linens lie in the laundry basket	The fresh linens lie
This beautiful painting evokes strong emotions	A lost puppy walks towards the city park	A lost puppy walks towards
