demonstration	test_sentence	response
Hostile takeovers are quite a new phenomenon	The small boat stays in the calm lake	The small boat stays
The old man feeds the stray cat	The thick essay lies on the shelf	The thick essay lies
Potential side effects include high blood pressure	His parents rushed to his side	His parents rushed to
The suit seeks unspecified damages	Most people live in rural areas	Most people live 
Prospective competition is one problem	The old map points to a hidden treasure	The old map points to
Her father protects the family	The accident happened on Saturday night	The accident happened
His father ran a construction company	A lost puppy walks towards the city park	A lost puppy walks
Pension reform was its main thrust	A surprising revelation happened on their wedding anniversary	A surprising revelation happened
The federal judge granted a temporary restraining order	The great artist died from a serious illness	The great artist died 
Their enthusiastic coach trains the young team	The little girl walks towards the living room	The little girl walks
City dwellers crave a quiet countryside life	The fragile vase stays on the top shelf	The fragile vase stays
These people have different agendas	The fresh linens lie in the laundry basket	The fresh linens lie 
The urban children receive free education	the old guests sat at the dinner table	the old guests sat
The local community supports our fundraising event	His father died of a heart attack	His father died
This boy needs your help	The rare artifact stays in the secured vault	The rare artifact stays
Rising operating expenses are another problem	The golden treasure lies in the dense jungle	The golden treasure lies in
The plan lacked a withdrawal timetable	A full moon appeared in the dark night sky	A full moon appeared
Some institutional traders loved the wild ride	The story begins in a small town	The story begins
Two election commission members opposed the matching plans	The road sign points to the nearest exit	The road sign points to
Many law firms sponsor their own programs	The secret letter lies on the old wooden desk	The secret letter lies
The young girl loves her new toy	His glasses lie on the bedside table	His glasses lie
Accounting problems raise more knotty issues	The bird rests on the sturdy branch	The bird rests 
Most people respect this great leader	the old man looked at the window	the old man looked
Our friendly neighbor shares his delicious food	A gentleman walks towards the bustling cafe	A gentleman walks
