demonstration	test_sentence	response
Hostile takeovers are quite a new phenomenon	The small boat stays in the calm lake	The small boat stays
The local community supports our fundraising event	The students look at the complex equation	The students look at
Potential side effects include high blood pressure	His parents rushed to his side	His parents rushed to
The diligent student learns her lessons	The fresh linens lie in the laundry basket	The fresh linens lie
Rising operating expenses are another problem	His family lived in an old farmhouse	His family lived
My little brother enjoys this interesting game	The thick essay lies on the shelf	The thick essay lies
Your father deserves a vacation	The rare artifact stays in the secured vault	The rare artifact stays
Some institutional traders loved the wild ride	A gentleman walks towards the bustling cafe	A gentleman walks
Local residents appreciate the beautiful park	The little girl walks towards the living room	The little girl walks
Accounting problems raise more knotty issues	the old man looked at the window	the old man looked at
Most people respect this great leader	The accident happened on Saturday night	The accident happened
This beautiful painting evokes strong emotions	the old guests sat at the dinner table	the old guests sat
The urban children receive free education	Most people live in rural areas	Most people live
Prospective competition is one problem	The young boy looks at the toy store window	The young boy looks at
Many law firms sponsor their own programs	A picture hangs at his study	A picture hangs
This boy needs your help	The story begins in a small town	The story begins
City dwellers crave a quiet countryside life	His father died of a heart attack	His father died of
The plan lacked a withdrawal timetable	Many squirrels live in the oak tree	Many squirrels live
The old man feeds the stray cat	The road sign points to the nearest exit	The road sign points to
His father ran a construction company	A surprising revelation happened on their wedding anniversary	A surprising revelation happened
Her father protects the family	The golden treasure lies in the dense jungle	The golden treasure lies
Our friendly neighbor shares his delicious food	A lost puppy walks towards the city park	A lost puppy walks towards
Pension reform was its main thrust	A full moon appeared in the dark night sky	A full moon appeared
The federal judge granted a temporary restraining order	The fragile vase stays on the top shelf	The fragile vase stays on
