demonstration	test_sentence	response
Accounting problems raise more knotty issues	the rest students sat on the ground	the rest students sat.
The urban children receive free education	A gentleman walks towards the bustling cafe	A gentleman walks.
Rising operating expenses are another problem	Most people live in rural areas	Most people live.
His father ran a construction company	the old guests sat at the dinner table	the old guests sat.
The federal judge granted a temporary restraining order	His father died of a heart attack	His father died.
Local residents appreciate the beautiful park	The old map points to a hidden treasure	The old map points to.
The plan lacked a withdrawal timetable	The story begins in a small town	The story begins.
Two election commission members opposed the matching plans	the old man looked at the window	the old man looked at.
This beautiful painting evokes strong emotions	His glasses lie on the bedside table	His glasses lie.
Their enthusiastic coach trains the young team	The golden treasure lies in the dense jungle	The golden treasure lies in.
Some institutional traders loved the wild ride	The fragile vase stays on the top shelf	The fragile vase stays.
These people have different agendas	The students look at the complex equation	The students look at.
Many law firms sponsor their own programs	The rare artifact stays in the secured vault	The rare artifact stays in.
Pension reform was its main thrust	The great artist died from a serious illness	The great artist died from.
Your father deserves a vacation	The small boat stays in the calm lake	The small boat stays.
The diligent student learns her lessons	The fresh linens lie in the laundry basket	The fresh linens lie in.
The young girl loves her new toy	A picture hangs at his study	A picture hangs.
My friends cherish our high school memories	The little girl walks towards the living room	The little girl walks.
The old man feeds the stray cat	The road sign points to the nearest exit	The road sign points to.
This boy needs your help	Many squirrels live in the oak tree	Many squirrels live in.
The local community supports our fundraising event	The bird rests on the sturdy branch	The bird rests on.
My little brother enjoys this interesting game	The thick essay lies on the shelf	The thick essay lies.
City dwellers crave a quiet countryside life	His family lived in an old farmhouse	His family lived.
Prospective competition is one problem	His parents rushed to his side	His parents rushed to.
