demonstration	test_sentence	response
你们住在一起	爸爸希望我在国内发展	爸爸希望我发展
我没那么大勇气	每天往返路程需要多长时间	每天往返需要多长时间
单位的网速非常垃圾	你英文版的在哪儿	英文版的在哪儿
我都得耻骨联合分离症了	你问问销售的价格	你问问
我是给我爱人定的	我这一直到年前都要疯滴	我这要疯滴
到现在我都只能摸摸它脑袋而已	我可以给你她的联系方式	我可以给你联系方式
我又带进来一个败家娘们	我要吃饭去了	我要吃饭了
改革开放不止一条路	要不然连个名分都没有	要不然连名分都没有
化妆品可能占点空间会	我跟他都做了酒店的英语测试	我他都做了酒店的英语测试
我懂他的意思	他问咱有免税政策嘛	fail to follow
他不适合我结婚对象	机会大把的	机会大把
这恰恰说明了应试教育的好处	刚才手机上的没收到	刚才手机没收到
现在酒店的团购特别多	要是晚上的那种我是能参加的	晚上的那种我是能参加的
免得你每次对我右键	俺弟一结婚我就没什么事了	俺弟结婚我没事了
所以技术人员一般都拿不了多少钱	我已经完全学不进习了	我已经完全学进习了
她现在就是属于她男人的	我倒是没有考虑过这个问题	我没有考虑过这个问题
他知道这个事	我同事说我的外套都没型	我同事说我的外套没型
我们不在一个办公室了	所以门当户对真的还是有道理的	门当户对有道理
琼我全采购好了	反正你最近对我冷漠完勒	你对我冷漠完勒
于是我更加关注这支球队	超声最近貌似新文章不多	超声最近貌似不多
现在我只加了电子病历的	它的副董是我的同学	它的副董是我的
我这里是晚上八点	我看中了件欧时力的大衣	我看中了件大衣
那他的价格也不低	她家小的也在	fail to follow
你还参加过这种阿	你什么时候去	fail to follow
