demonstration	test_sentence	response
钱对她来说很重要	我爸只活在自己的世界里	只活在自己的世界里
我们大多数的时间都是发在家上	这个直接在格子里改	fail to follow
俺双方都是独生子女	我觉得现在这样挺好的	现在这样挺好的
我下周回去	本来文件是什么格式	fail to follow
你打下我电话吧	伟大哥待会儿再带盒熏鱼	伟大哥待会儿再带盒鱼
我要打造巨星品牌	我给你发功了	我给你发功
我跟他都做了酒店的英语测试	介样滴配色有质感点就行	fail to follow
各种是非上身	我这个人就是这样	fail to follow
我复给你看	我们不能再说下去了	我们不能说了
我们看看做个标书	我爸只活在自己的世界里	我爸只活在自己的世界
我在高铁上了	你要根据我们模块上的接口来配置	你要根据接口来配置
我说你哥的孩子	只有星期五的有	只有星期五
化疗很伤害正常就细胞	我才请了假回老家	我请假回老家
你还参加过这种阿	我们公司在搞什么二十周年庆	我们公司在搞什么二十周年
我这是说真话	若干年后你就是他	若干年后你就是
我老公不会跟我去的	我是给我爱人定的	fail to follow
他们给我推荐了一个童言国际	我爸只活在自己的世界里	fail to follow
现在酒店的团购特别多	你英文版的在哪儿	英文版的在哪儿
法律是道德的最底线	现在早教比大学贵	fail to follow
到现在我都只能摸摸它脑袋而已	我就是跑跑业务	我就是跑跑
你在哪上学	他们可能是通过其他渠道知道的	他们通过其他渠道知道的
所有的悲剧都如此相似	但是防腐剂什么的少	防腐剂什么的少
我准备了好长时间嗯	梵西不适合小小朋友去的	不适合小小朋友去
我今天上午去过你的店	现在她不理你了吧	她不理你了吧
