demonstration	test_sentence	response
我们不在一个办公室了	她对你们都很熟悉的	fail to follow
我刚才到超市买点调料有些没有了	我们只能跟着别人凑下热闹	我们只能跟着凑热闹
老板的公事还是蛮多	具体渠道什么的肯定没法比	没法比
我可烦俺公公了	她们还说了年报滴列	她们还说了
你还参加过这种阿	祖上多少代都没这基因	祖上没这基因
我们是小社	你要一个卡子一个的拍	你要拍
我打不通你的	一个串口都打不开	fail to follow
法律是道德的最底线	亲晚上有事不	亲晚上
咱一年调整一次才	你就给她发一条吧里还说清楚	你给她发一条吧
她眼神有些像你母亲	我们公司在搞什么二十周年庆	fail to follow
关键是他的英语水平跟我一样	思八达是不是离你家很近	fail to follow
这恰恰说明了应试教育的好处	女状元的爸爸谈教育	fail to follow
我们跟你报	也许我和他说过话但没在意	也许说过话但没在意
囚犯参与剧本创作获殊荣	我带点小不点的小衣架	我带点不点的衣架
我是给我爱人定的	我老公不会跟我去的	我不去
它和启明是一个概念	难得他大老远见你一面	难得他见你一面
一个串口都打不开	我昨天走了一个半小时	我昨天走了半小时
编译出啥问题了	你那边应该就是保洁的了	你那边就是保洁的了
这个时候孩子上课上完了	我最近忙昏了	我最近忙了
你要用护士的工号	但是防腐剂什么的少	fail to follow
所以我跟他分了	而且你的字还写的比我好	fail to follow
他对朋友不错	我看风格和梵西有些像	fail to follow
我到过一家天线厂	这个男孩有些意向	这个男孩有意向
你看我身边的老乡	独立学院的就一个商贸英语类专业	独立学院的商贸英语类专业
