demonstration	test_sentence	response
Such trappings suggest a glorious past but give no hint of a troubled present	And it left mixed signals for London	And it left signals for London
Merck is one of the most important stocks in the Major Market Index	He said that the research team had no financial stake in the drug	He said that
Her story is becoming part of local folklore	Our teachers are not an important factor in our educational crisis	Our teachers are not an
Radio programs and books have followed the daily television show	Judges will write the real bill as suits roll through the courts	Judges will write the real bill
Estimated volume was a very light one million ounces	The June killings magnified the problems	The June killings
The Arabs had merely oil	The dollar posted gains in quiet trading as concerns about equities abated	The dollar posted
The mining zone has thus remained one of the most desolate places in Africa	Their ridicule of him is no substitute for argument	Their ridicule of him
He is a lawyer with a string of academic degrees	He again urged passage of a constitutional amendment outlawing abortion	He again urged
The deal would require approval by a majority of Jaguar shareholders	Total return is price changes plus interest income	Total return is price
The completion of the merger agreement follows months of twists and turns	But trading risk stems from credit risk	But trading risk stems from
Baskets of roses and potted palms adorned his bench	Flesh goes to total alert for flight or fight	Flesh goes to total alert for
The ultimate hope is that the technique could identify diseased vessels	Traders can vary their strategies and execute their orders in any one of them	Traders can vary their strategies and execute their orders in
One bank stock was a winner	The two sides also traded accusations about the cost of the Packwood plan	The two sides also traded accusations
Civil suits against planners by clients seeking recovery of funds are increasingly common	The British government also strongly opposes the charter in its current form	The British government also strongly opposes the charter in its current form
Those current holders would also receive minority interests in the new company	No one has alleged that the donations were by themselves illegal	No one has alleged that the donations
The pilots argued that this triggered a pay raise for them	Those viewers find the show confusing	Those viewers find the show
But other rake makers have their doubts	Accepted theories state that investors require higher returns on riskier investments	Accepted theories state that investors
Congressmen raised the issue yesterday at a hearing	That structural lack is crucial because investors are the only source of market liquidity	That structural lack because investors are the only source of market liquidity
Yet the state alone sells seeds and machines	The Old Crowd is deeply concerned by the backlash from all this	The Old Crowd is deeply
By the end of the century scientists had embraced the system	But in this case the needle has a very sharp point	But in this case the needle has a very
The resulting stockpiling has depressed the market	It is hoped that other Japanese would then follow the leader	It is hoped that other Japanese would
The collagen corneal shield helps speed healing of the cornea after eye surgery	Labor problems top the list	Labor problems top
The most pressing problem was the suspension of options trading	Not everyone believes that the good times are over for shippers	Not everyone believes that
Enfield is a holding company with interests in manufacturing concerns	Opponents show that there are already more funds available than commendable reform efforts	Opponents show that
