demonstration	test_sentence	response
Continental Air replaced its top executive for the sixth time in as many years	But this raises added cost barriers to urban entrepreneurship	Raises add cost barriers to urban entrepreneurship
He is our most dangerous enemy	This phenomenon often makes stock prices swing wildly at the end of the trading session	This phenomenon
We put some orders together	Many Indians fear a repeat of that experience	many indians repeat
Some banks actually boosted yields on the shortest term CDs in the latest week	Enfield is a holding company with interests in manufacturing concerns	enfield is holding company
And the world could experience its first psyllium shortage	Japan is a major target for the Soviets	japan is a major
Hanson is a London producer of consumer and other goods	It expects any impact on its business to be slight	it expects
Some institutional traders loved the wild ride	Brand loyalty was stronger among older consumers in the Journal survey	brand loyalty was stronger
Congressmen raised the issue yesterday at a hearing	These revised figures also may explain some of the recent strength of the dollar	these revised also may explain
The closely watched funds rate is what banks charge each other on overnight loans	Civil suits against planners by clients seeking recovery of funds are increasingly common	civil suits against planners by clients seeking recovery funds increasingly common
But they will have disappointing returns or even losses if interest rates rise instead	Not only Californians but all Americans would pay if this thing passed	would pay if this passed
There was no cost estimate for the second phase	That figure has been inching up for several years	none
Chandler might have been predicting the course of his own career	Such trappings suggest a glorious past but give no hint of a troubled present	such trappings suggest a glorious
Bonds received a bigger boost later in the day when stock prices moved broadly lower	The relative calm in Tokyo proved little comfort to markets opening up in Europe	the relative in tokyo proved
Blue chips led the march up in heavy trading	The fund made a similar move earlier this year	the fund made move earlier 
One big obstacle is that few drugstores develop the film anymore	The loss of more customers is the latest in a string of problems	The loss of more customers is in a string of problems'.
Strategists should consider the impact of budget uncertainties at the beginning of the planning process	But New York City general obligation bonds came under selling pressure	but new york city came under selling pressure
The extrusion unit produces bare and painted custom extrusions for building products and construction industries	She held her fire with her first production at the Trinity earlier this season	she held her fire at trinity earlier this season
But there were no buyers	But even a little appeal has a lot of attraction these days	but even a
The collagen corneal shield helps speed healing of the cornea after eye surgery	New telephone lines posted healthy growth	new telephone lines posted healthy
The engine plant may encompass plans for a joint components venture with Jaguar	Traders attributed the action in them largely to defensive positioning in a volatile market	traders attrituted the action
Only the bravest spirits survive such roller coasters	She notes that she also stresses professionalism during her weekly visits	she notes that she also
He had been associate professor in the department of finance at Seton Hall University	The stock market is certainly not too big for the Fed to handle	none
Two segments posted lower earnings for the quarter	That brought a chain reaction in the industry	that brought a 
The deal would require approval by a majority of Jaguar shareholders	They do indeed want their own nation	they do indeed want
