demonstration	test_sentence	response
The loss of more customers is the latest in a string of problems	But the deal fell apart last week for lack of financing	But the deal fell apart last week.
Recruiter Donald Clark does note an increase in searches for minority candidates	The stock market is certainly not too big for the Fed to handle	The stock market is.
He had been associate professor in the department of finance at Seton Hall University	Both executives left the company after clashes with Chairman Ralph Ingersoll Jr	Both executives left.
They promised yet more for really good stuff	The battle for customer loyalty is evident along the Cobb Parkway strip	The battle.
Next year may see a drop of one percentage point	Lead underwriter to the issue is Toronto Dominion Securities Inc	Lead underwriter to the issue is.
An analyst cited weaker capital spending and exports	But it never did let up on the pressure	But it never did let up.
Lackluster returns are one reason	The finance unit attributed the decline to higher borrowing costs compared with a year earlier	The finance unit attributed.
The struggle over capital gains is the most important game in town	Business was slow because many companies were closed yesterday	Business was slow because.
Yet these figures show only the most visible part of the problem	Four of those insiders sold more than half their holdings	Four of those insiders sold.
The Maybelline beauty product line had higher sales following a sluggish first half	Delayed financings also would affect the operations of many companies	Delayed financings also would of many companies'.
Market Data Retrieval is a compiler of educational information and provides related services	Loyalty lags most for utilitarian products like trash bags and batteries	Loyalty lags most for and batteries'.
The company is facing a takeover proposal from the financier Sir James Goldsmith	She was as cool as a cucumber	She was as cool.
The engine plant may encompass plans for a joint components venture with Jaguar	Economists expected twice as large an increase	Economists expected.
But in this case the needle has a very sharp point	We now know that the words were not always his own	We now know that the words were not.
And he questions the White House dedication	Each company worries that the other is becoming too powerful and too vertically integrated	Each company worries.
Civil suits against planners by clients seeking recovery of funds are increasingly common	The red granite mausoleum draws thousands of visitors daily	The red granite mausoleum draws daily.
Some banks actually boosted yields on the shortest term CDs in the latest week	This is the commercial version	This is the version.
The two sides now are accusing each other of lying	We had great success in Somalia	We had great in Somalia.
Fog shrouded the base before touchdown	Nausea seems a commonplace symptom	Nausea seems a symptom.
Such trappings suggest a glorious past but give no hint of a troubled present	The company paid five cents a share in April	The company paid a share in April.
Strategists should consider the impact of budget uncertainties at the beginning of the planning process	Such animosity could prove pivotal in the union vote	Such animosity could in the union vote.
Rising operating expenses are another problem	The journalistic consensus was that the earthquake made the World Series seem unimportant	The journalistic consensus was.
Magazine publishers are facing spiraling costs and a glut of new titles	The tape was on tv before the night was out	The tape was on tv before.
Radio programs and books have followed the daily television show	The estimate includes the results of new stores	The estimate includes the results.
