demonstration	test_sentence	response
Los Angeles will be the site of a new entertainment division for the ad agency	Business was slow because many companies were closed yesterday	business was slow because
The closely watched funds rate is what banks charge each other on overnight loans	But the move lagged a stronger rise in New York Stock Exchange issues	but the move lagged a rise in New York Stock Exchange issues
This is a story about suckers	The East German economy is strong compared with other East bloc nations	The East German
Total return is price changes plus interest income	Several fund managers expect a rough market this morning before prices stabilize	Several fund managers expect
Soon she was running the office	The company is active in office and residential development in New York	The company is active
The charges said that one worker suffered permanent brain damage from mercury exposure	The entire opera is her dream	The opera is her dream
But sophistication has its limits	Estimated volume was a heavy seven million ounces	Estimated volume was 
Now it is their fellow Turks arriving as refugees from Bulgaria	Congress previously cut six airports this year	Congress previously cut
This could mean diminished issuance of derivative mortgage issues during the next few weeks	The lonely woman walks on in the direction of the Plaza de Alonso Martinez	The lonely woman walks
He said that the research team had no financial stake in the drug	The third principal in the South Gardens adventure did have garden experience	The third principal in the South Gardens adventure did have
Only the bravest spirits survive such roller coasters	The Ways and Means Committee will hold a hearing on the bill next Tuesday	The Ways and Means Committee will hold a hearing
There is a lot of waste	Men were a constant complication	Men were
The state of New Hampshire has favored that plan	But they will have disappointing returns or even losses if interest rates rise instead	But they will have disappointing 
One concerns Japanese investors	Joanne Lipman contributed to this article	Joanne Lipman contributed
Many law firms sponsor their own programs	Industry observers expect a wide divergence in performance	Industry observers expect 
These revised figures also may explain some of the recent strength of the dollar	Cost is a key consideration because of the global sweep of the financial markets	Cost is a key consideration because
Civil suits against planners by clients seeking recovery of funds are increasingly common	Timber stocks got a big boost	Timber stocks got a boost
He ticks off several major differences between now and two years ago	Chandler might have been predicting the course of his own career	Chandler might have been predicting
He takes over a school system in the midst of radical reform	Hostile takeovers are quite a new phenomenon	Hostile takeovers are
The Vatican was in the red last year	The agreement is subject to government approval	The agreement is subject
Never once did she gasp for air or mop her brow	His boss complained about neglect of other chores	His boss complained about neglect
One big obstacle is that few drugstores develop the film anymore	The post had been vacant for more than a year	The post had been vacant for a year
The ferocious competition probably will drive some poorly managed properties into bankruptcy or new ownership	British government bonds surged on renewed volatility in the stock market	British government bonds surged in the stock market
The husky blond guide with the Aggie cap twists his face in mock fury	The two are also signing a trade agreement	The two are signing a trade agreement
