demonstration	test_sentence	response
But a few funds have taken other defensive steps	The market seems increasingly disconnected from the rest of the nation	The market seems increasingly disconnected from
And the egg producers have done a pretty good job	The fund made a similar move earlier this year	The fund made a similar move
The closely watched funds rate is what banks charge each other on overnight loans	Some funds are posting yields far higher than the average	Some funds are posting yields the average
He sandwiched his praise of constitutional meat between large loaves of bilious commentary	The tribe is one of the poorest in the Pacific Northwest	The tribe in the Pacific Northwest
The spinoff should solve a problem for the parent	Only a few books fell in the reading room	Only a few books the reading room
Their effort has received a lukewarm response from the Justice Department	He confers big trading commissions on Wall Street firms	He confers big trading commissions on Wall Street firms
Rolled copper product sales were major contributors to overall sales growth	Expansion plans also include acquisitions in growing foreign markets	Expansion plans also include acquisitions
There are a few ramshackle fishing towns with quiet atolls of resort houses nearby	Stocks rose slightly as trading activity slowed from the frenzied pace earlier this week	Stocks rose week
The pool invested idle cash for many state agencies and local governments	Advertisers attribute this shared loyalty to the striking similarity among brands	Advertisers attribute this to the striking similarity among brands
Eventually viewers may grow bored with the technology and resent the cost	The company develops and markets products for the food service industry	The company develops and markets products for the food
Now a rocky stock market and weak corporate profits may further threaten the economy	Laurie McGinley contributed to this article	Laurie McGinley contributed to
The suit seeks unspecified damages	It was a jarring day for investors in Genetics Institute	It was a
He is a lawyer with a string of academic degrees	That has outraged some fans	That has
He said that the research team had no financial stake in the drug	Nausea and vomiting are other common side effects	Nausea and vomiting are other common side
Now at least one Japanese company is turning the courtroom tables	The market is still very touchy about rumors and news on pending takeovers	The market is still very touchy about rumors
Hanson is a London producer of consumer and other goods	Bob Stone stewed over a letter from his manager putting him on probation for insubordination	Bob Stone
Traders can vary their strategies and execute their orders in any one of them	The agreement is subject to completion of a definitive amendment and appropriate approvals	The agreement is completion of a definitive amendment and appropriate approvals
Los Angeles will be the site of a new entertainment division for the ad agency	That announcement left union officials in Van Nuys and Oklahoma City uncertain about their futures	That announcement left union
Some lagging competitors even may leave the personal computer business altogether	Details and Camden are essential Florio	Details and Camden are essential Florio
Parts are a tragedy	It is hoped that other Japanese would then follow the leader	It is
It is also planning another night of original series	All this is causing convulsions in professional football	All this is causing
Only the bravest spirits survive such roller coasters	The finance unit attributed the decline to higher borrowing costs compared with a year earlier	The finance unit attributed the
El Paso owns and operates a petroleum refinery	Now there are many cars for every purse and purpose	Now there are many cars
The mining zone has thus remained one of the most desolate places in Africa	They long made little effort here	They long made little effort here
