demonstration	test_sentence	response
Risk is also a function of time	But observers expect broad support	observers expect support.
Investors welcomed the move	That injunction resulted from litigation between Temple and Sea Containers last May	injunction resulted. 
But there is no solid evidence that the Khmer Rouge have changed	It also asked Mesa to keep the proposal confidential	It also asked
The pilots argued that this triggered a pay raise for them	He is warm and polished before a Puerto Rican Congress in Asbury Park	He is warm and polished before
The closely watched funds rate is what banks charge each other on overnight loans	Details and Camden are essential Florio	Details and Camden are essential Florio.
Merck is one of the most important stocks in the Major Market Index	It is hoped that other Japanese would then follow the leader	It is hoped
Yet these figures show only the most visible part of the problem	Talk show hosts quickly change the topic	Talk show hosts quickly change
The Maybelline beauty product line had higher sales following a sluggish first half	Inflation is at record levels	Inflation is at record levels.
But there are no scientific data on this question	Options markets stopped trading in many securities	Options markets. 
He got three trucks and a backhoe cheap	One bank stock was a winner	One bank winner.
Opponents show that there are already more funds available than commendable reform efforts	But transportation officials worry that such extraordinary measures and cooperation may not last	But transportation officials worry.
The measure also includes spending cuts and increases in federal fees	Then he would move his movement to Europe	Then he would move.
They long made little effort here	The move reflected the growing confidence of the revamped Supreme Soviet	The move reflected the Supreme Soviet.
The relative calm in Tokyo proved little comfort to markets opening up in Europe	Some economists expect further declines in investment spending	Some economists expect further.
She held her fire with her first production at the Trinity earlier this season	Most expect the decline in New York stock prices to continue this week	Most expect  stock prices to continue this week.
Most other states have enacted similar bans	That figure has been inching up for several years	That figure has been inching up.
He expects Citicorp to take a similar step this year	But the two countries remain separated by a cultural barrier wider than the ocean	But the two countries remain barrier wider than the ocean.
Big withdrawals from the junk funds have continued this month	The companies reached an agreement in principle for the sale in August	The companies reached an agreement in principle for the sale.
Both executives left the company after clashes with Chairman Ralph Ingersoll Jr	Both companies will replace the oil filler cap with a ventilated oil filler cap	Both companies will replace a ventilated oil filler cap.
He had been associate professor in the department of finance at Seton Hall University	That structural lack is crucial because investors are the only source of market liquidity	That structural lack is.
The fund made a similar move earlier this year	But they will have disappointing returns or even losses if interest rates rise instead	'But they will even losses if interest rates rise instead.
Investors and analysts applauded the news	The new rules will allow investors to buy foreign stocks directly	The new rules will allow.
It has some of the highest costs in the league	The Fed has assumed a similar responsibility in the market for government securities	The Fed has.
There was no immediate estimate of damage from the company	Civil suits against planners by clients seeking recovery of funds are increasingly common	Civil suits against funds are increasingly common.
