demonstration	test_sentence	response
Conference committees are breeding grounds for mischief	This is an index fund with a bet	This is an index fund.
He is a lawyer with a string of academic degrees	Only the bravest spirits survive such roller coasters	Only the bravest spirits survive.
It is hoped that other Japanese would then follow the leader	Other temperature data show similar unexplained swings	Other temperature data show.
Advertisers attribute this shared loyalty to the striking similarity among brands	This is a story about suckers	This is a story.
The deal would require approval by a majority of Jaguar shareholders	They could still panic and bail out of the market	They could still panic.
This is football country	Abortion via the pill is far more of an ordeal than conventional surgical abortion	Abortion via the pill is.
Another poked a hole in the heel of his shoe	It also adds to the mystery of the venture	It also adds to the venture.
Recruiter Donald Clark does note an increase in searches for minority candidates	The house just settled right down into the ground	The house just settled.
There are a few ramshackle fishing towns with quiet atolls of resort houses nearby	Estimated volume was five million ounces	Volume was.
He is our most dangerous enemy	Now it is their fellow Turks arriving as refugees from Bulgaria	It is.
The deal requires regulatory and shareholder approval	We do not depend on pharmaceutical companies for our support	We do not depend.
The announcement fueled speculation for future advances in the shares	The collagen corneal shield helps speed healing of the cornea after eye surgery	The shield helps.
The Polish rat will eat well this winter	Giant has interests in cement making and newsprint	Giant has interests.
Shareholders must approve the merger at general meetings of the two companies in late November	The joke here is that the Giants lost by de fault	The joke here is that lost by de fault.
Silicon Valley heaved a sigh of relief yesterday	We now know that the words were not always his own	We know that the words were not.
Copper prices fell sharply Friday afternoon	Stocks rose slightly as trading activity slowed from the frenzied pace earlier this week	Stocks rose slightly.
He softened the talk about a recession	He said that the research team had no financial stake in the drug	He said.
Timber stocks got a big boost	The new rules will allow investors to buy foreign stocks directly	The new rules will allow.
This is not the case	Not that oil suddenly is a sure thing again	Not that oil suddenly is.
The historical profession will survive these decisions	The engine plant may encompass plans for a joint components venture with Jaguar	The engine plant may encompass.
Cray made its announcement after the stock market closed	The agreement is subject to completion of a definitive amendment and appropriate approvals	The agreement is subject to completion.
Employees wore identification badges listing not only their names but also their dates of hire	Accepted theories state that investors require higher returns on riskier investments	Accepted theories state.
He expects the price for that product to rise even more next year	Eventually viewers may grow bored with the technology and resent the cost	Viewers may grow bored.
Such trappings suggest a glorious past but give no hint of a troubled present	Wilfred closed its Massachusetts schools earlier this year	Wilfred closed its schools.
