demonstration	test_sentence	response
The announcement fueled speculation for future advances in the shares	Farmers lay down before the bulldozers	Farmers lay
The issue here may be the soundness of the guarantee	The current ruble rate has long been out of line with the black market	The current ruble rate has long been
Her new line of work has some perils	Strategists should consider the impact of budget uncertainties at the beginning of the planning process	Strategists should consider
Funds for drilling may inch up more next year if oil prices stay stable	Each company worries that the other is becoming too powerful and too vertically integrated	Each company worries that the other is becoming too powerful and vertically integrated
Los Angeles will be the site of a new entertainment division for the ad agency	Utilities management is a major commercial niche	Utilities management is
Recent data from New York City provide more of the picture	The expansion is subject to approval by federal and Wisconsin environmental regulators	The expansion is subject to
The finance unit attributed the decline to higher borrowing costs compared with a year earlier	Retailers could get a boost this year from the calendar	Retailers could get this year from the calendar
There were many more	The deal would require approval by a majority of Jaguar shareholders	The deal would
Opponents show that there are already more funds available than commendable reform efforts	Civil suits against planners by clients seeking recovery of funds are increasingly common	Civil suits against planners by clients seeking recovery of funds are increasingly
So the Federal Reserve is an attractive target for complaint by politicians	It was the highest bid in history for a work of art	It was
He had been vice president in that office	The company is facing a takeover proposal from the financier Sir James Goldsmith	The company is
You built your career on prejudice and hate	The final maturity is in five years	The final maturity is in five years
Now at least one Japanese company is turning the courtroom tables	The trust will issue the certificates	The trust will issue
The rise matches that of the Dow Jones industrials this year	The collagen corneal shield helps speed healing of the cornea after eye surgery	The collagen corneal shield helps
Judges will write the real bill as suits roll through the courts	The Fed has assumed a similar responsibility in the market for government securities	The fed has assumed in the market for government securities
Colgate sold its hospital supply and home health care business last year	But observers expect broad support	But observers expect
Conner already is shipping its new drives	His credibility is also on the line in the investment community	His credibility is also on
But there was one bright spot yesterday	Florida National said yesterday that it remains committed to the merger	Florida National said yesterday
But the deal fell apart last week for lack of financing	Poachers would control the underground trade	Poachers would control the underground trade
But the move lagged a stronger rise in New York Stock Exchange issues	Both the Peasants and Rural Solidarity are forming new political parties for farmers	Both the Peasants and Rural Solidarity are
He is a lawyer with a string of academic degrees	Surveys suggested that consumer confidence was high before Friday	Surveys suggested
The extrusion unit produces bare and painted custom extrusions for building products and construction industries	The company reported good gains in all of its divisions	The company reported in all of its divisions
Competition and mounting insurance and equipment costs have been the undoing of many resorts	It should be a scream	It should be
They are more sophisticated this time	Connaught is a biotechnology research and vaccine manufacturing concern	Connaught is a biotechnology research and vaccine manufacturing concern
