demonstration	test_sentence	response
The company could command a good price in the market	Athena eventually acquired exclusive rights to the technology and currently is developing it	Athena acquired rights to the technology and is developing it
There were no new issues	Other gainers were companies with one or more undamaged California refineries	Other gainers were
Drug companies lost a major liability case	The trip from the test tube was not without snags	The trip from the test tube was not
This starts in the construction phase through the use of minority contractors and local workers	Now there are many cars for every purse and purpose	Now there are many cars
The project has been in and out of the pipeline for more than a decade	Prices of Treasury bonds tumbled in moderate to active trading	Prices of Treasure bonds tumbled in
At least it has a little dash	The British conglomerate cited the recent turmoil in financial markets	The British conglomerate cited the
Competition in the sale of complete bikes is heating up too	Enfield is a holding company with interests in manufacturing concerns	Enfield is holding company with
It is merely the most obvious	But most lawyers accept that the marketplace has spoken	But most lawyers
And the practice often varies from location to location even within a company	Housing has been weak all year and especially so in the past five months	Housing has been weak all year
Their ridicule of him is no substitute for argument	Most of the telephone problems in the immediate aftermath stemmed from congestion	Most of the telephone problems in the immediate aftermath
Rents have soared along with house prices	It was the highest bid in history for a work of art	It was the highest bid in history for
Rumors of Soviet interest also pushed up the prices of soybean futures contracts	Still the Salinger decision created a strong presumption against fair use of unpublished materials	Still the Salinger decision created a strong presumption
Repeat customers also can purchase luxury items at reduced prices	The issue here may be the soundness of the guarantee	The issue here may be the soundness of the guarantee
The outlook for corporate earnings is fairly bleak	Baskets of roses and potted palms adorned his bench	Baskets of roses and potted palms
The laws take effect next month	Each has an equal vote at the monthly meetings	Each has an equal vote
But then they wake up to a nightmare	Japanese government bonds ended lower after the dollar rose modestly against the yen	Japanese government bonds ended lower
An additional benefit is the creation of jobs	The red granite mausoleum draws thousands of visitors daily	The red granite mausoleum draws thousands of
The ultimate hope is that the technique could identify diseased vessels	He said that the research team had no financial stake in the drug	He said that the research team had no financial stake
The end of the marriage was at hand	Many called it simply a contrast in styles	Many called it a contrast in styles
Evidence of the growing Japanese demand for mortgage securities abounds	The measure also includes spending cuts and increases in federal fees	The measure includes cuts and increases in fees
But the two countries remain separated by a cultural barrier wider than the ocean	The Old Crowd is deeply concerned by the backlash from all this	The Old Crowd is deeply concerned
The team then proposed modifications in their work process to management	The deal would require approval by a majority of Jaguar shareholders	The deal would require approval by Jaguar shareholders
The metaphor of theater is not entirely coincidental	Yet he has proved more resilient than any of them	Yet he has proved more
British government bonds surged on renewed volatility in the stock market	The machine began shipping at the end of last year	The machine began shipping at
