demonstration	test_sentence	response
Nissan created its quake ad in a weekend	He is a lawyer with a string of academic degrees	He is a lawyer with a string of academic
It can happen in any industry	This measure had dropped sharply in August	This measure had dropped
Sometimes repairs are out of the question	We cruise toward another set of pilings	We cruise toward another set
Two workers died and six remain in the hospital	Some business analysts blame the problem on tough competition in the insurance market	Some business analysts blame the problem on tough competition in
There is a lot of waste	It also inevitably leaves a residue of shareholder lawsuits	It also inevitably leaves
He will continue as a director	Conversation was subdued as most patrons watched the latest market statistics on television	Conversation was subdued as most patrons watched the latest market
The dollar finished at its intraday highs	Scientists also are exploring memory and perception with the new machines	Scientists also are exploring memory and perception
They are more sophisticated this time	The remainder of the house leans precariously against a sturdy oak tree	The remainder of the house leans precariously
The ultimate hope is that the technique could identify diseased vessels	Wall Street traders on Friday had complained about the trading suspensions	none
The expansion is subject to approval by federal and Wisconsin environmental regulators	Prices of Treasury bonds tumbled in moderate to active trading	Prices of Treasury bonds tumbled
The Panamanian affair is only the tip of a more alarming iceberg	The charge on loans to brokers on stock exchange collateral	The charge on loans to brokers
Most British programming is more of an acquired taste	These revised figures also may explain some of the recent strength of the dollar	These revised figures also may explain some of
Risk is also a function of time	Still the Salinger decision created a strong presumption against fair use of unpublished materials	Still the Salinger decision created a strong presumption
This untried concept would expose these firms to potentially astronomical punitive damages	His boss complained about neglect of other chores	His boss complained about
In the end politics got in the way	The current ruble rate has long been out of line with the black market	The current ruble rate has long been out
His interest in the natural environment dates from his youth	It is a peaceful time in this part of western India	It is a peaceful time in this part of
Most sleep on the floor	Soaring rights fees will lead to an even greater clutter of commercials	Soaring rights fees
One apparent side effect is a minor increase in a brain hormone	Small business is bracing for an avalanche of similar proposals next year	Small business is bracing for an avalanche of
The volatility was dizzying for traders	The Northeast has been holding its own in the population race	The Northeast has been holding its own
The bond market was unmoved by the economic statistics	Yet he has proved more resilient than any of them	Yet he has proved more resilient
Rents have soared along with house prices	The appointments are part of a planned succession at the company	The appointments are part of a
The husky blond guide with the Aggie cap twists his face in mock fury	The British government also strongly opposes the charter in its current form	The British government also strongly opposes the charter
Stock prices finished about unchanged Friday in quiet expiration trading	Both issues are among the most popular with individual investors	Both issues are among the most popular
The British economy is hardly the picture of health these days	The deal would require approval by a majority of Jaguar shareholders	The deal would require approval by Jaguar shareholders
