demonstration	test_sentence	response
Strong farmer selling over the weekend also weighed on prices	She has also served on several task forces on acquired immune deficiency syndrome	She has also served on acquired immune deficiency sydrome.
Frequent trading runs up high commission costs	London shares closed moderately lower in thin trading	London shares closed.
The House bill also distorts economic efficiency in all sorts of perverse ways	The engine plant may encompass plans for a joint components venture with Jaguar	The engine plant may encompass plans for a joint components venture.
Union officials have taken a beating politically as a result	Two more securities firms bowed to the outcry over program trading	Two more securities firms bowed to the outcry over program.
He was only the sixth federal judge ever ousted from office after an impeachment trial	But there are grounds for complaint	But there are complaints.
Successful American business owners do the same thing	The company expects all branches to reopen today	The company expects all branches to.
Neither disclosed details pending board meetings next month	Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	Its previous proposal had conditioned.
Still others are looking at overseas markets	He had been president of the international operations	He had been president.
His hands sit farther apart on the keyboard	Most of the telephone problems in the immediate aftermath stemmed from congestion	Most of the telephone problems in.
Such trappings suggest a glorious past but give no hint of a troubled present	We were out of the box	We were out of.
The appointments are part of a planned succession at the company	Civil suits against planners by clients seeking recovery of funds are increasingly common	Civil suits against planners by clients seeking recovery of.
This pattern was particularly evident among more highly educated couples	The result is a new and huge appetite for programming	The result is a new and huge programming.
Poverty remains far more widespread among blacks than other Americans	Following are excerpts from the electronic traffic that night	Following are excerpts from the electronic traffic that.
There are few factories and no mines	Delayed financings also would affect the operations of many companies	Delayed financings.
Japanese government bonds ended lower after the dollar rose modestly against the yen	It also could convert glucose from farm wastes into edible protein	It also could convert glucose from farm wastes into protein.
The uncertainty is sending shivers through Brazilian financial markets	An official linked the gain essentially to higher prices for beef and pork	An official linked the gain essentially.
The Vatican was in the red last year	Columbia announced the results after the close of the stock market	Columbia announced the stock market.
Bosses have big ears these days	Those viewers find the show confusing	Those viewers confusing.
Portrait studios have also latched onto the trend	The board will be made up of seven directors of each holding company	The board will be made up of seven directors.
Millions of refugees would rush home	Sales of parts for cars and construction vehicles rose	Sales of parts for vehicles rose.
Flesh goes to total alert for flight or fight	The collagen corneal shield helps speed healing of the cornea after eye surgery	The collagen corneal shield helps cornea after eye surgery.
But trading risk stems from credit risk	The put establishes a minimum selling price for the stock during its life	The put established a minimum.
The latest rebate is good for all Beretta models	Yet he has proved more resilient than any of them	Yet he has proved.
The Diet plays a minor role compared with the powerful bureaucratic system	The appointments are part of a planned succession at the company	The appointments are part of a.
