demonstration	test_sentence	response
Their ridicule of him is no substitute for argument	Enfield is a holding company with interests in manufacturing concerns	enfield interests in manufacturing concerns
The Poles have had it all along	She bursts into tears and walks away	she bursts into tears
Kia is reportedly also considering such a plan	The mining zone has thus remained one of the most desolate places in Africa	The mine zone remains desolate in africa
He expected as much	The Old Crowd is deeply concerned by the backlash from all this	the old crowd
Other gainers were companies with one or more undamaged California refineries	This leads to a very special sense of urgency	this leads to a
Sales of parts for cars and construction vehicles rose	The embryo had progressed only to a clump of eight identical cells	embryo identical cells
Rents have soared along with house prices	The two sides also traded accusations about the cost of the Packwood plan	the two sides also traded accusations about the cost
The plan is subject to approval by the bankruptcy court and others	This is partly due to the particular demands of the crop	this is partly due
Poverty remains far more widespread among blacks than other Americans	Abortion via the pill is far more of an ordeal than conventional surgical abortion	abortion via the pill is far more of an ordeal
Shares of the new partnership would trade on an exchange like a stock	The thrift and the holders had suspended their lawsuits as part of the agreement	the thrifts lawsuits as part of the agreement
The screen was a sea of red	Another poked a hole in the heel of his shoe	another poked hole
There are still bulls out there	Paper companies concede that business has been off recently	paper companies concede 
His credibility is also on the line in the investment community	It may experience an upswing or two in between	it may experience an upswing
Fear is the father of panic	Both companies will replace the oil filler cap with a ventilated oil filler cap	both companies will
The senators responded in kind	He expects the price for that product to rise even more next year	he expects the price for that product to rise even more
Tokyo stocks rebounded Tuesday from two consecutive daily losses in relatively active dealings	But the apple industry is ripe for change	none
He temporarily abandoned his search for the Reuters shares	The deal would require approval by a majority of Jaguar shareholders	the deal would require approval by a majority
He cut her hair	All of the bidders contemplate full payment including interest to secured creditors	all of the bidders contemplate 
The mining zone has thus remained one of the most desolate places in Africa	The announcement fueled speculation for future advances in the shares	the announcement fueled speculation for future advances
Other scandal survivors are sometimes the best source of solace	Another poked a hole in the heel of his shoe	none
But the steam may never reach the engine room	An assassin in Colombia killed a federal judge on a Medellin street	an assassin in colombia killed a federal judge
Other mutual fund companies reported even lighter withdrawal requests	Soaring rights fees will lead to an even greater clutter of commercials	soaring rights fees will lead to an even clutter of commercials
Futures prices recovered in quiet trading	Competition in the sale of complete bikes is heating up too	competition in the sale of complete bikes is
Their problem is one of inefficiency of an industrial economy	The new exchange drew instant recognition from an unwelcome quarter	the new exchange drew
