demonstration	test_sentence	response
She held her fire with her first production at the Trinity earlier this season	The carriers were competing fiercely for market share	fail to follow
Innocent bystanders often are the victims	The guide scoops into a pail and puts a frantically wiggling croaker on the hook	the guide scoops a pail frantically
They did me some good	Prices of Treasury bonds tumbled in moderate to active trading	prices of treasury bonds tumbled
Deal stocks led the market down as they absorbed the heaviest losses	Some business analysts blame the problem on tough competition in the insurance market	some business analysts blame on tough competition
The House version would raise slightly more	Some Wall Street firms monitor for recordkeeping purposes	some wall street monitor recordkeeping
The Fed has assumed a similar responsibility in the market for government securities	No one has alleged that the donations were by themselves illegal	no one has alleged
He visits the same department every two or three weeks	Judges will write the real bill as suits roll through the courts	suits roll through the courts
Geraldo or Phil would probably pull up another camera and interview the chained protesters	One man wrapped several diamonds in the knot of his tie	one man wrapped diamonds in his tie
These revised figures also may explain some of the recent strength of the dollar	Loyalty lags most for utilitarian products like trash bags and batteries	loyalty lags for utilitarian products
Opponents show that there are already more funds available than commendable reform efforts	Japanese government bonds showed little change	japanese government bonds
So the Federal Reserve is an attractive target for complaint by politicians	The company just went public earlier this month	the company just went
Enfield is a holding company with interests in manufacturing concerns	Foreign bonds surged as the dollar weakened against most major currencies	foreign bonds surged
He expects Citicorp to take a similar step this year	The quake postponed the third and fourth games of the World Series	the quake postponed the world series
Merck is one of the most important stocks in the Major Market Index	The Arabs had merely oil	the arabs
But a few funds have taken other defensive steps	He is negotiating a rich book contract to boot	he is negotiating a rich book
Total return is price changes plus interest income	The engine plant may encompass plans for a joint components venture with Jaguar	the engine plant
Pacific First owns Pacific First Federal Savings Banks and other financial services firms	Corn futures prices rose slightly while wheat prices settled mixed	corn futures prices
Their effort has received a lukewarm response from the Justice Department	Civil suits against planners by clients seeking recovery of funds are increasingly common	civil suits increasingly common
It is hoped that other Japanese would then follow the leader	Inco shares fell after the announcements	inco shares fell after
Las Vegas has seen nothing quite like it before	The latest rebate is good for all Beretta models	the last rebate is beretta models
It also would have reduced mandatory overtime	The Panamanian affair is only the tip of a more alarming iceberg	the panamanian affair
He ticks off several major differences between now and two years ago	It also lowered some air fares	it also lowered
She had an idea	The mining zone has thus remained one of the most desolate places in Africa	the mining
Sierra Tucson operates an addiction treatment center	She notes that she also stresses professionalism during her weekly visits	she notes that
