demonstration	test_sentence	response
Waxman sells a variety of hardware products for the home repair market	He reset opening arguments for today	he reset
The two sides now are accusing each other of lying	Employees wore identification badges listing not only their names but also their dates of hire	fail to follow
There were no new issues	The bikes are unwelcome on trails in national parks	the bikes are
New telephone lines posted healthy growth	The majority of the bikes never even make it into the high country	the majority of the bikes never even make it
The company reported good gains in all of its divisions	Help may be on the way	help may be
The put establishes a minimum selling price for the stock during its life	Another poked a hole in the heel of his shoe	another poked a hole
Her new line of work has some perils	The talks came as Lebanese negotiations on political changes appeared deadlocked	the talks came as
The appointments are part of a planned succession at the company	Those viewers find the show confusing	those viewers find
Maybe it was their peculiar sense of history	He expects Citicorp to take a similar step this year	he expects
The finance unit attributed the decline to higher borrowing costs compared with a year earlier	The board will be made up of seven directors of each holding company	the board will be made up of each holding company
But slow sales forced Ford to kill the brand just last week	Analysts expect further jitters this week	analysts expect further this week
The mining zone has thus remained one of the most desolate places in Africa	Treasury prices ended mixed in light trading	treasury prices ended
The excess supply pushed gasoline prices down in that period	Some business analysts blame the problem on tough competition in the insurance market	some business analysts blame on tough competition in the insurance market
But its stock jumped again yesterday as it disclosed surprisingly strong margins on those sales	The inquiry soon focused on the judge	the inquiry soon focused
But they will have disappointing returns or even losses if interest rates rise instead	Options markets stopped trading in many securities	options markets in many securities
Accounting problems raise more knotty issues	The current ruble rate has long been out of line with the black market	the current ruble rate has
Utilities management is a major commercial niche	No one has alleged that the donations were by themselves illegal	no one has
The ambitious Warsaw project still awaits approval by city officials	He expects the price for that product to rise even more next year	he expects the price for that product
This misguided policy could not prevent a British trade deficit	Many law firms sponsor their own programs	many law firms sponsor
The deal would require approval by a majority of Jaguar shareholders	We put some orders together	we put some
It also could convert glucose from farm wastes into edible protein	The company develops and markets products for the food service industry	the company develops and markets for the food service industry
An official linked the gain essentially to higher prices for beef and pork	The engine plant may encompass plans for a joint components venture with Jaguar	the engine plant may encompass for a joint components venture with jaguar
He confers big trading commissions on Wall Street firms	Strategists should consider the impact of budget uncertainties at the beginning of the planning process	strategists should consider at the beginning of the planning process
American institutional investors have never had a large appetite for Japanese equities	It added that no discussions about such a sale are under way	it added that no discussions about
