demonstration	test_sentence	response
Still the Salinger decision created a strong presumption against fair use of unpublished materials	Employees wore identification badges listing not only their names but also their dates of hire	employees wore identification badges
Whittle has met some resistance	Yet the bill is riding high on the furor over drug trafficking	yet the bill
But weak car sales raise questions about future demand from the auto sector	The board expands to seven members	the board expands to
Cost is a key consideration because of the global sweep of the financial markets	He gave no further details	fail to follow
This is football country	It is a quick fix for a complex problem	it is
Bond prices posted strong gains as investors went on a bargain hunt	But the shortages also spawned rampant speculation and spiraling prices	but the shortages also spawned
The relative calm in Tokyo proved little comfort to markets opening up in Europe	Surveys suggested that consumer confidence was high before Friday	surveys suggested that consumer confidence
Those current holders would also receive minority interests in the new company	Their problem is one of inefficiency of an industrial economy	their problem is one of
We put some orders together	He also leads an opulent life style	he also leads
That structural lack is crucial because investors are the only source of market liquidity	Yet he has proved more resilient than any of them	yet he has proved more resilient
Traders can vary their strategies and execute their orders in any one of them	The plan is subject to approval by the bankruptcy court and others	the plan is subject to approval
It also licenses optically based data storage and retrieval devices	Many fund managers have boosted their cash levels in recent weeks	many fund managers
Rolled copper product sales were major contributors to overall sales growth	Prices of Treasury bonds tumbled in moderate to active trading	prices of treasury bonds tumbled
Lawmakers in both houses support the higher level	Her new line of work has some perils	her new line of work
Some industry groups consistently weather the storm better than others	The suit seeks unspecified damages	fail to follow
Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	Their report galvanized other molecular biologists	the report galvanized other
There were no new issues	Professionals dominated municipal trading throughout the session	professionals dominated
Confectionery products sales also had strong growth in the quarter	She expects both revenue and profit to gain this year	she expects both revenue and profit
There is no rational justification for such behavior	Preparedness involves more than flashlights and fire alarms these days	preparedness involves
She held her fire with her first production at the Trinity earlier this season	Some business analysts blame the problem on tough competition in the insurance market	some business analysts blame the problem on tough competition
Japan is not a political country	And she has this inexhaustible energy	and she has
The above represents a triumph of either apathy or civility	Market conditions point to even lower prices next year	market conditions point
These revised figures also may explain some of the recent strength of the dollar	There were many more	fail to follow
Next year may see a drop of one percentage point	The fund made a similar move earlier this year	the fund made a
