demonstration	test_sentence	response
Chandler might have been predicting the course of his own career	The put establishes a minimum selling price for the stock during its life	the put establishes a minimum selling price
The figures occasionally include incomplete transactions in restricted stock	Kia is reportedly also considering such a plan	kia is reportedly
By the end of the century scientists had embraced the system	Los Angeles will be the site of a new entertainment division for the ad agency	los angeles will be the site of a new entertainment division
That structural lack is crucial because investors are the only source of market liquidity	Two election commission members opposed the matching plans	two election commission members opposed
The deal would require approval by a majority of Jaguar shareholders	The closely watched funds rate is what banks charge each other on overnight loans	the closely watched funds rate
Risk is also a function of time	Some funds are posting yields far higher than the average	some funds are
Developers are also eyeing the real estate portfolios of major corporations	He had been associate professor in the department of finance at Seton Hall University	he had been associate professor
The company reported good gains in all of its divisions	Merchant banks were stronger across the board	merchant banks were
The infusion of activists can bring a clash of cultures	The expansion is subject to approval by federal and Wisconsin environmental regulators	the expansion is subject to approval
He ticks off several major differences between now and two years ago	Solidarity wants it from the West	solidarity wants
Canadian investment rules require that big foreign takeovers meet that standard	Help may be on the way	help may be
The Fed has assumed a similar responsibility in the market for government securities	Whether she can meet that ambitious goal is still far from certain	whether she can meet that ambitious goal
Their problem is one of inefficiency of an industrial economy	The thrift and the holders had suspended their lawsuits as part of the agreement	the thrift and the holders had
State loan guarantees are rarely a source of controversy	The transaction is subject to a definitive agreement and approval by Ideal shareholders	the transaction is subject to
Hostile takeovers are quite a new phenomenon	Market conditions point to even lower prices next year	market conditions point to
We had great success in Somalia	The loyal servant has come full circle	the loyal servant full circle
Now it is their fellow Turks arriving as refugees from Bulgaria	It also adds to the mystery of the venture	it also adds
They are more sophisticated this time	It also could convert glucose from farm wastes into edible protein	it also could convert
The original owners happily repaid the claim and took their kylix home	The reason was not high interest rates or labor costs	the reason was not
That means huge travel bills	The state of New Hampshire has favored that plan	he state of new hampshire has
Only the bravest spirits survive such roller coasters	The ambitious Warsaw project still awaits approval by city officials	the ambitious warsaw project still
Digital is promising a new approach	But weak car sales raise questions about future demand from the auto sector	weak car sales raise questions about
Other major players in intimate apparel apparently feel the same way	Civil suits against planners by clients seeking recovery of funds are increasingly common	civil suits against planners by clients are increasingly common
Continental Air replaced its top executive for the sixth time in as many years	Nobody has any credible estimate	nobody has
