demonstration	test_sentence	response
But the firm has never had a day like yesterday	All three funds posted negative returns for the year to date	all three funds posted
Their problem is one of inefficiency of an industrial economy	This hurts the price of corporate bonds	this hurts
Broader averages also posted modest gains	Other scandal survivors are sometimes the best source of solace	other scandal survivors are sometimes the best
Many other brokerage firms had similarly bullish views	Investors and analysts applauded the news	investors and analysts applauded
Their verdict on real estate is almost the same	The contract also provides for advanced billing and network management services	the contract also provides for advanced
The company rejected those past proposals	It was down a little	it was down
The engine plant may encompass plans for a joint components venture with Jaguar	Accepted theories state that investors require higher returns on riskier investments	accepted theories state that investors
Blue chips led the march up in heavy trading	Judges will write the real bill as suits roll through the courts	judges will write through the courts
Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	The measure also includes spending cuts and increases in federal fees	the measure also includes
It is hoped that other Japanese would then follow the leader	He said that the research team had no financial stake in the drug	fail to follow
That structural lack is crucial because investors are the only source of market liquidity	But they are stalwart socialists	but they are stalwart
He sandwiched his praise of constitutional meat between large loaves of bilious commentary	The announcement fueled speculation for future advances in the shares	the announcement advances in the shares
Deal stocks led the market down as they absorbed the heaviest losses	Broader market averages were little changed in the latest session	broader market averages in the latest session
The trust will issue the certificates	The pilots argued that this triggered a pay raise for them	the pilots argued
The suit seeks unspecified damages	The mining zone has thus remained one of the most desolate places in Africa	the mining zone has thus remained
Creative accounting is a hallmark of federal credit	Wang had previously forecast a loss	wang had previously
There was no cost estimate for the second phase	Chandler might have been predicting the course of his own career	chandler might
The result is a new and huge appetite for programming	Prices closed mixed as contracts reacted to largely offsetting bullish and bearish news	prices closed
Merck is one of the most important stocks in the Major Market Index	News of the bid drew sharp criticism from other computer companies and industry observers	news of
The education establishment will fight against common sense every inch of the way	Industry observers expect a wide divergence in performance	industry observers expect a wide divergence
The finance unit attributed the decline to higher borrowing costs compared with a year earlier	They speak volumes about the state of our society at a given moment	they speak volumes at a given moment
The merger requires the approval of Norwegian authorities	This bias is in no way deliberate	fail to follow
But there were no buyers	They do indeed want their own nation	they do
Conversation was subdued as most patrons watched the latest market statistics on television	Civil suits against planners by clients seeking recovery of funds are increasingly common	civil suits against planners are increasingly common
