demonstration	test_sentence	response
But a few funds have taken other defensive steps	The market seems increasingly disconnected from the rest of the nation	the market seems increasingly disconnected from
And the egg producers have done a pretty good job	The fund made a similar move earlier this year	the fund made a similar move
The closely watched funds rate is what banks charge each other on overnight loans	Some funds are posting yields far higher than the average	some funds are posting yields the average
He sandwiched his praise of constitutional meat between large loaves of bilious commentary	The tribe is one of the poorest in the Pacific Northwest	the tribe in the pacific northwest
The spinoff should solve a problem for the parent	Only a few books fell in the reading room	only a few books the reading room
Their effort has received a lukewarm response from the Justice Department	He confers big trading commissions on Wall Street firms	fail to follow
Rolled copper product sales were major contributors to overall sales growth	Expansion plans also include acquisitions in growing foreign markets	expansion plans also include acquisitions
There are a few ramshackle fishing towns with quiet atolls of resort houses nearby	Stocks rose slightly as trading activity slowed from the frenzied pace earlier this week	stocks rose week
The pool invested idle cash for many state agencies and local governments	Advertisers attribute this shared loyalty to the striking similarity among brands	advertisers attribute this to the striking similarity among brands
Eventually viewers may grow bored with the technology and resent the cost	The company develops and markets products for the food service industry	the company develops and markets products for the food
Now a rocky stock market and weak corporate profits may further threaten the economy	Laurie McGinley contributed to this article	laurie mcginley contributed to
The suit seeks unspecified damages	It was a jarring day for investors in Genetics Institute	it was a
He is a lawyer with a string of academic degrees	That has outraged some fans	that has
He said that the research team had no financial stake in the drug	Nausea and vomiting are other common side effects	nausea and vomiting are other common side
Now at least one Japanese company is turning the courtroom tables	The market is still very touchy about rumors and news on pending takeovers	the market is still very touchy about rumors
Hanson is a London producer of consumer and other goods	Bob Stone stewed over a letter from his manager putting him on probation for insubordination	bob stone
Traders can vary their strategies and execute their orders in any one of them	The agreement is subject to completion of a definitive amendment and appropriate approvals	the agreement is completion of a definitive amendment and appropriate approvals
Los Angeles will be the site of a new entertainment division for the ad agency	That announcement left union officials in Van Nuys and Oklahoma City uncertain about their futures	that announcement left union
Some lagging competitors even may leave the personal computer business altogether	Details and Camden are essential Florio	fail to follow
Parts are a tragedy	It is hoped that other Japanese would then follow the leader	it is
It is also planning another night of original series	All this is causing convulsions in professional football	all this is causing
Only the bravest spirits survive such roller coasters	The finance unit attributed the decline to higher borrowing costs compared with a year earlier	the finance unit attributed the
El Paso owns and operates a petroleum refinery	Now there are many cars for every purse and purpose	now there are many cars
The mining zone has thus remained one of the most desolate places in Africa	They long made little effort here	fail to follow
