demonstration	test_sentence	response
And it left mixed signals for London	The bond market was unmoved by the economic statistics	the bond market was unmoved
He no longer crowds the plate	He is our most dangerous enemy	he is our enemy
Trading in cotton and sugar was nervous and showed small declines	Japanese government bonds ended lower after the dollar rose modestly against the yen	japanese government bonds ended lower after the dollar rose modestly against
But readers may well feel the pangs of recognition	Surveys suggested that consumer confidence was high before Friday	surveys suggested consumer confidence
But they will have disappointing returns or even losses if interest rates rise instead	Conversation was subdued as most patrons watched the latest market statistics on television	most patrons watched the latest market statistics
And many have done just that	Rising operating expenses are another problem	are another problem
The woman won the bet	Deutsche Bank has actively sought a French acquisition for at least two years	deutsche bank has actively sought
But some money managers are doing just that	President Bush signed a disaster declaration covering seven Northern California counties	president bush signed
He had been associate professor in the department of finance at Seton Hall University	The result is mistrust and criticism from all around	the result is
Traders can vary their strategies and execute their orders in any one of them	The local American Legion color guard led the way	the american legion color guard led
Nguyen Van Chan is living proof that old ways die hard	Chicago has the largest population of citizens of Polish heritage in any city outside Poland	chicago has
Another poked a hole in the heel of his shoe	The tribe is one of the poorest in the Pacific Northwest	the tribe is one in the pacific northwest
The estimate includes the results of new stores	Jacobs is an international engineering and construction concern	jacobs is an
But even a little appeal has a lot of attraction these days	But its stock jumped again yesterday as it disclosed surprisingly strong margins on those sales	but its stock jumped again yesterday as it on those sales
The dispute was the subject of a Wall Street Journal article in August	He takes over a school system in the midst of radical reform	he takes
There was tremendous public enthusiasm for stock mutual funds	He is warm and polished before a Puerto Rican Congress in Asbury Park	he is
Employees wore identification badges listing not only their names but also their dates of hire	The Environmental Protection Agency is getting a lot out of the Superfund program	the environmental protection agency is
Utilities management is a major commercial niche	The Fed has assumed a similar responsibility in the market for government securities	the fed has
Los Angeles will be the site of a new entertainment division for the ad agency	The board will be made up of seven directors of each holding company	the board will be
One big obstacle is that few drugstores develop the film anymore	The engine plant may encompass plans for a joint components venture with Jaguar	the engine plant may encompass for a joint components venture with jaguar
Ashland had a loss	Strategists should consider the impact of budget uncertainties at the beginning of the planning process	strategists should
So the Federal Reserve is an attractive target for complaint by politicians	Demand will come first from programming production companies and then from television stations	demand will
The loss of the cigarette account would be a severe blow to Wells Rich	Yet the bill is riding high on the furor over drug trafficking	yet the bill is
It also inevitably leaves a residue of shareholder lawsuits	The Polish rat will eat well this winter	the polish rat will eat
