demonstration	test_sentence	response
Yet some funds have pulled in their horns	The dispute was the subject of a Wall Street Journal article in August	The dispute was the subject of a Wall Street Journal.
The dividend had been five cents a share	Each company worries that the other is becoming too powerful and too vertically integrated	Each company worries.
The collagen corneal shield helps speed healing of the cornea after eye surgery	Many law firms sponsor their own programs	Law firms sponsor programs.
Kyle manufactures electronic components	The agreement is subject to completion of a definitive amendment and appropriate approvals	The agreement is  subject to completion.
The mining zone has thus remained one of the most desolate places in Africa	The fund made a similar move earlier this year	The fund made a move.
The ultimate hope is that the technique could identify diseased vessels	This is an index fund with a bet	This is a fund with a bet.
Estimated volume was a heavy seven million ounces	The state of New Hampshire has favored that plan	The state has favored.
State loan guarantees are rarely a source of controversy	Foreign bonds surged as the dollar weakened against most major currencies	Foreign bonds  surged.
All along they have been noting the tremors and pointing out the underlying realities	But gripes run the gamut	But gripes run the gamut.
Such armor crushes the soldier	Both executives left the company after clashes with Chairman Ralph Ingersoll Jr	Both executives left.
The relative calm in Tokyo proved little comfort to markets opening up in Europe	The Environmental Protection Agency is getting a lot out of the Superfund program	The Environmental Protection Agency is getting.
Shareholders must approve the merger at general meetings of the two companies in late November	Investors with a heavy tax load should take out their calculators	Investors with a heavy tax load should take out.
It should be a scream	The finance unit attributed the decline to higher borrowing costs compared with a year earlier	The finance unit attributed the decline to higher borrowing costs compared.
But the new lens became the eye of a storm	Now it is their fellow Turks arriving as refugees from Bulgaria	Now it is.
The measure also includes spending cuts and increases in federal fees	But in this case the needle has a very sharp point	But in this case the needle has.
Panda Motors is one such investment	He expects the price for that product to rise even more next year	He expects
Los Angeles will be the site of a new entertainment division for the ad agency	But a few funds have taken other defensive steps	But a few funds have taken 
The company reported good gains in all of its divisions	But Trelleborg still must clear some tough hurdles	But Trelleborg still must clear
The airline also named Mickey Foret as president	An assassin in Colombia killed a federal judge on a Medellin street	An assassin in Colombia killed a federal judge
The Marina rescue center offered a very San Franciscan response to the disaster	Next year may see a drop of one percentage point	Next year may see a drop
Her story is becoming part of local folklore	Other gainers were companies with one or more undamaged California refineries	Other gainers were
Men were a constant complication	The New York company called the lawsuit without merit	The New York company called
The engine plant may encompass plans for a joint components venture with Jaguar	Concord is a camera and photographic products company	Concord is
The two sides also traded accusations about the cost of the Packwood plan	German and Dutch investors reportedly loaded up on Kellogg Co	German and Dutch investors loaded 
