demonstration	test_sentence	response
Wang had previously forecast a loss	Details and Camden are essential Florio	Details and Camden are essential
But this raises added cost barriers to urban entrepreneurship	West German bond prices ended lower after a day of aimless trading	West German bond prices 
But the push for cleaner fuels is increasing the attractiveness of natural gas	They came by their strangeness honestly	They came
The reason was not high interest rates or labor costs	Florida National said yesterday that it remains committed to the merger	Florida National said
Judges will write the real bill as suits roll through the courts	The ambitious Warsaw project still awaits approval by city officials	The ambitious Warsaw project still awaits by city officials
Poland makes no machinery for a plant on that scale	The agreement is subject to government approval	The agreement is
He wound up and let loose a fastball	And the number of stocks hitting new lows far outstrips the number setting new highs	And the number of stocks hitting new lows far outstrips
The companies reached an agreement in principle for the sale in August	Chandler might have been predicting the course of his own career	Chandler might have been predicting
Advertisers attribute this shared loyalty to the striking similarity among brands	The government insists that such a possibility is low	The government insists
Both revenue figures exclude excise taxes	Kidder officials stand by their aggressive use of program trading	Kidder officials stand by
The relative calm in Tokyo proved little comfort to markets opening up in Europe	Their discomfort is a healthy sign for the rest of us	Their discomfort is
He is a lawyer with a string of academic degrees	But they are stalwart socialists	But they are
The loyal servant has come full circle	Illinois Company Investments had been trimming its ranks until last summer	Illinois Company Investments had been trimming
She was the child of relative privilege	Strategists should consider the impact of budget uncertainties at the beginning of the planning process	Strategists should consider
Manufacturers Hanover had a loss due to a big reserve addition	Treasury bonds ended slightly higher in light trading	Treasury bonds ended
Utilities management is a major commercial niche	Small business is bracing for an avalanche of similar proposals next year	Small business is bracing for
But its stock jumped again yesterday as it disclosed surprisingly strong margins on those sales	Both are mining concerns	Both are 
Conversation was subdued as most patrons watched the latest market statistics on television	The fund made a similar move earlier this year	The fund made earlier this year
The original owners happily repaid the claim and took their kylix home	Whittle has met some resistance	Whittle has met
But violation could bring substantial tax penalties to both employer and employees	That structural lack is crucial because investors are the only source of market liquidity	That structural lack is because investors are the only source of market liquidity
Deutsche Bank has actively sought a French acquisition for at least two years	It blames most of these on Fatah	It blames on Fatah
But gripes run the gamut	He should chop out both unconstitutional provisions and budget pork	He should chop out
Los Angeles will be the site of a new entertainment division for the ad agency	Yet these figures show only the most visible part of the problem	Yet these figures show
Chicago has the largest population of citizens of Polish heritage in any city outside Poland	But there is no solid evidence that the Khmer Rouge have changed	But there is no
