demonstration	test_sentence	response
The Maybelline beauty product line had higher sales following a sluggish first half	It can happen in any industry	It can in any industry
He also mentioned increased capital investment by Pacific Bell for network improvements	The relative calm in Tokyo proved little comfort to markets opening up in Europe	The relative calm in Tokyo proved
More carefully targeted intervention might actually reduce the need for government action	They could still panic and bail out of the market	They could still panic and bail out
Van Nghe quickly made influential enemies	Judges will write the real bill as suits roll through the courts	Judges will write
Opponents show that there are already more funds available than commendable reform efforts	Total return is price changes plus interest income	Total return is price changes plus
And transfer control of much of it to Capitol Hill	Inco shares fell after the announcements	Inco shares fell
The husky blond guide with the Aggie cap twists his face in mock fury	Canadian investment rules require that big foreign takeovers meet that standard	Canadian investment rules require
The Marina rescue center offered a very San Franciscan response to the disaster	Measures of manufacturing activity fell more than the overall measures	Measures of manufacturing activity fell
Deutsche Bank has actively sought a French acquisition for at least two years	The finance unit attributed the decline to higher borrowing costs compared with a year earlier	The finance unit attributed to higher borrowing costs compared with a year earlier
Panda Motors is one such investment	Japanese government bonds showed little change	Japanese government bonds showed
The pilots argued that this triggered a pay raise for them	Deal stocks led the market down as they absorbed the heaviest losses	Deal stocks led as they absorbed the heaviest losses
One ad features a huge robot carrying a voluptuous woman in a faint	And he questions the White House dedication	And he questions
You built your career on prejudice and hate	Nor does it cover the entire portfolio	Nor does it cover
An additional benefit is the creation of jobs	But New York City general obligation bonds came under selling pressure	But New York City general obligation bonds came
Columbia announced the results after the close of the stock market	One big obstacle is that few drugstores develop the film anymore	One big obstacle is that few drugstores develop anymore
The entire opera is her dream	Japan is not a political country	Japan is not
Civil suits against planners by clients seeking recovery of funds are increasingly common	The Orange Workers are just putting this preaching into practice	The Orange Workers are just putting into practice
It has more drug users than Boston has people	Parts are a tragedy	Parts are
But the steam may never reach the engine room	Wilfred closed its Massachusetts schools earlier this year	Wilfred closed earlier this year
The screen was a sea of red	Investors and analysts applauded the news	Investors and analysts applauded
Now it is their fellow Turks arriving as refugees from Bulgaria	Size and weight considerations also have limited screen displays	Size and weight considerations also have
The reason was not high interest rates or labor costs	These people have different agendas	These people have
These revised figures also may explain some of the recent strength of the dollar	At least it has a little dash	At least it has
Your story is an insult to the citizens of the Mississippi Delta	The market is still very touchy about rumors and news on pending takeovers	The market is still very touchy
