demonstration	test_sentence	response
Brooks Brothers is also remodeling its stores	Most of us know a sucker	Most of us know.
Their effort has received a lukewarm response from the Justice Department	It was the highest bid in history for a work of art	It was the highest bid for a work of art.
The loss of the cigarette account would be a severe blow to Wells Rich	The trial begins today in federal court in Philadelphia	The trial begins today.
The incident occurred Saturday night	He does this in at least three of his solo pieces	He does this.
The pilots argued that this triggered a pay raise for them	The British government also strongly opposes the charter in its current form	The British government also strongly opposes.
Bond prices posted strong gains as investors went on a bargain hunt	They did me some good	They did some good.
Radio programs and books have followed the daily television show	The lonely woman walks on in the direction of the Plaza de Alonso Martinez	The lonely woman walks on.
The executive branch bears the first responsibility for timidity	Miss Brady is deputy director of the Russian Research Foundation in London	Miss Brady is deputy director.
Housing has been weak all year and especially so in the past five months	Panda Motors is one such investment	Panda Motors is such investment.
Labor problems top the list	Colgate sold its hospital supply and home health care business last year	Colgate sold.
The engine plant may encompass plans for a joint components venture with Jaguar	This phenomenon often makes stock prices swing wildly at the end of the trading session	This phenomenon often makes.
The thrift and the holders had suspended their lawsuits as part of the agreement	The company also faces delisting by the National Association of Securities Dealers	The company also faces by the National Association of Securities Dealers.
Only now is it undergoing a badly needed facelift	The market is still very touchy about rumors and news on pending takeovers	The market is still very touchy.
But this raises added cost barriers to urban entrepreneurship	Most sleep on the floor	Most sleep.
But the firm also tracks smaller technology companies as a subset of the larger group	This untried concept would expose these firms to potentially astronomical punitive damages	This untried concept would expose to potentially astronomical punitive damages.
One such company is Bankers Trust Co	The company is facing a takeover proposal from the financier Sir James Goldsmith	The company is
The finance unit attributed the decline to higher borrowing costs compared with a year earlier	The announcement fueled speculation for future advances in the shares	The announcement fueled for future advances in the shares.
Poland makes no machinery for a plant on that scale	They promised yet more for really good stuff	They promised.
He sees a psychoanalyst five mornings a week	Giant has interests in cement making and newsprint	Giant has in cement making and newsprin.
Nashua announced the Reiss request after the market closed	Even claims against individuals and companies face significant roadblocks	Even claims significant roadblocks.
The failed rights issue also should have a modest impact on British Air shares	He turned himself in to authorities in New York earlier this year	He turned himself in
Details and Camden are essential Florio	The report of the bankruptcy filing stunned Hollywood executives and investors	The report of the bankruptcy filing stunned
He said that the research team had no financial stake in the drug	We put some orders together	We put
Some funds are posting yields far higher than the average	Utilities management is a major commercial niche	Utilities management is a major commercial niche
