demonstration	test_sentence	response
It should be a scream	We scuttled along for a few feet before he plunged us into the drink again	We scuttled before he plunged
He should chop out both unconstitutional provisions and budget pork	The Old Crowd is deeply concerned by the backlash from all this	The Old Crowd is deeply concerned
It is a peaceful time in this part of western India	Prices closed mixed as contracts reacted to largely offsetting bullish and bearish news	Prices closed as contracts
Drug companies lost a major liability case	One bank stock was a winner	One bank stock was
Civil suits against planners by clients seeking recovery of funds are increasingly common	And transfer control of much of it to Capitol Hill	And transfer control it
All three funds posted negative returns for the year to date	Yet he has proved more resilient than any of them	Yet he has proved
Pacific First owns Pacific First Federal Savings Banks and other financial services firms	The bank is now aggressively marketing retail services at its domestic branches	The bank is marketing
The team then proposed modifications in their work process to management	The tape was on tv before the night was out	The tape was on before the night was out
The Northeast has been holding its own in the population race	Sun also reported a record backlog of orders	Sun also reported
But gripes run the gamut	Each company worries that the other is becoming too powerful and too vertically integrated	Each company worries
It is hoped that other Japanese would then follow the leader	But you know about campaign promises	But you know about
There are a few ramshackle fishing towns with quiet atolls of resort houses nearby	We think that the ratings revision is unfortunate but not unexpected	We think that the ratings revision is 
Lead underwriter to the issue is Toronto Dominion Securities Inc	The expansion is subject to approval by federal and Wisconsin environmental regulators	The expansion is
Senator Byrd is chairman of the Appropriations Committee	Innocent bystanders often are the victims	Innocent bystanders often are
Giant has interests in cement making and newsprint	There is a small Renoir on the wall	There is
Many law firms sponsor their own programs	Many resorts also are focusing more on the service side of their business	Many resorts also are focusing
The Fed has assumed a similar responsibility in the market for government securities	Measures of manufacturing activity fell more than the overall measures	Measures of manufacturing activity fell more
But its surprising progress so far holds important lessons for companies in trouble	The problem is not that the Fed is too unresponsive to the public interest	The problem is not that the Fed is
The trust will issue the certificates	It also inevitably leaves a residue of shareholder lawsuits	It also inevitably leaves
Marketing and sales departments then urged abandonment of the pico project	The deal requires regulatory and shareholder approval	The deal requires
But slow sales forced Ford to kill the brand just last week	Total return is price changes plus interest income	Total return is
An analyst cited weaker capital spending and exports	These big stocks greatly influence the Nasdaq Composite Index	These big stocks greatly influence
Chandler might have been predicting the course of his own career	There are few factories and no mines	There are and no mines
He takes over a school system in the midst of radical reform	Some business analysts blame the problem on tough competition in the insurance market	Some business analysts blame in the insurance market
