demonstration	test_sentence	response
Announced and anticipated purchases from foreign countries are also supporting futures prices	The House bill also distorts economic efficiency in all sorts of perverse ways	The House bill also distorts economic efficiency in ways
The states have their own ideas about regulation and certification	Yet these figures show only the most visible part of the problem	Yet these figures show
Delayed financings also would affect the operations of many companies	Recruiter Donald Clark does note an increase in searches for minority candidates	Recruiter Donald Clark does note an increase
The company also makes optical character recognition equipment	That would leave Hun Sen and the Khmer Rouge	That would leave
The Fed has assumed a similar responsibility in the market for government securities	The Pentagon foiled the plan	The Pentagon foiled
Americans place native or native speakers in charge of subsidiaries overseas	Other magazine publishing companies have been moving in the same direction	Other magazine publishing companies have been moving 
They will be the next hot magazines	But its stock jumped again yesterday as it disclosed surprisingly strong margins on those sales	its stock jumped for strong margins
Dow Jones is the publisher of The Wall Street Journal	They note that stocks experienced volatile swings long before futures	They note that
Athena eventually acquired exclusive rights to the technology and currently is developing it	No amount of hype will bring viewers back if the shows are weak	It will not bring viewers back if the shows are weak
But they are stalwart socialists	The company is facing a takeover proposal from the financier Sir James Goldsmith	The company is 
The deal would require approval by a majority of Jaguar shareholders	They are more sophisticated this time	They are more sophisticated
Eventually viewers may grow bored with the technology and resent the cost	Most British programming is more of an acquired taste	Most British programming is acquired taste
And they are a very odd team in any case	Wall Street traders on Friday had complained about the trading suspensions	Wall Street traders  had complained about the trading suspensions
Others had lesser damage and there were no injuries among workers	The agreement is subject to completion of a definitive amendment and appropriate approvals	The agreement is and appropriate approvals
Illinois Company Investments had been trimming its ranks until last summer	All along they have been noting the tremors and pointing out the underlying realities	All along they have been noting and pointing out 
Mervin Lung remains chairman and chief executive officer	Democrats had been negotiating with some Republican congressional leaders on a compromise lately	Democrats had been negotiating lately
The relative calm in Tokyo proved little comfort to markets opening up in Europe	The June killings magnified the problems	killings magnified the problems
Magazine publishers are facing spiraling costs and a glut of new titles	Each company worries that the other is becoming too powerful and too vertically integrated	Each company worries
Their verdict on real estate is almost the same	The finance unit attributed the decline to higher borrowing costs compared with a year earlier	The finance unit attributed the decline to higher borrowing costs
Both companies will replace the oil filler cap with a ventilated oil filler cap	Columbia announced the results after the close of the stock market	Columbia announced the results
He expects the price for that product to rise even more next year	The failed rights issue also should have a modest impact on British Air shares	The failed rights issue also should have a modest impact
Broader averages also posted modest gains	Other gainers were companies with one or more undamaged California refineries	Other gainers were companies with undamaged California refineries
Judges will write the real bill as suits roll through the courts	Both revenue figures exclude excise taxes	Both revenue figures exclude 
The two sides also traded accusations about the cost of the Packwood plan	William Coors is their uncle	William Coors is uncle
