demonstration	test_sentence	response
That has outraged some fans	The charges said that one worker suffered permanent brain damage from mercury exposure	Omitted the object of the sentence to make it concise. The charges said that one worker suffered.
This is an index fund with a bet	Foreign bonds surged as the dollar weakened against most major currencies	Foreign bonds surged
Foreign auto makers are taking the Tokyo Motor Show more seriously than ever	Broader averages also posted modest gains	Broader averages also posted.
It is merely the most obvious	The deal would require approval by a majority of Jaguar shareholders	The deal would require
That structural lack is crucial because investors are the only source of market liquidity	The bikes are unwelcome on trails in national parks	The bikes are on trails in national parks
Their problem is one of inefficiency of an industrial economy	Some even see a silver lining in the dark clouds	Some even see
The resulting stockpiling has depressed the market	The stock market is certainly not too big for the Fed to handle	The stock market is certainly not
But such caution is no guarantee against mistakes	Their effort has received a lukewarm response from the Justice Department	Their effort has received 
Most recently he had been executive vice president for planning and finance at Texas Air	The joke here is that the Giants lost by de fault	The joke here is that the Giants lost
The June killings magnified the problems	The fund invests mainly in gold and silver bullion	The fund invests
But its stock jumped again yesterday as it disclosed surprisingly strong margins on those sales	The dollar posted gains in quiet trading as concerns about equities abated	The dollar posted gains in quiet trading as concerns about equities abated
But its surprising progress so far holds important lessons for companies in trouble	They do indeed want their own nation	They do indeed want
The Senate Commerce Committee already has approved similar legislation	Silicon Valley heaved a sigh of relief yesterday	Silicon Valley heaved
There is no rational justification for such behavior	So the Federal Reserve is an attractive target for complaint by politicians	So the Federal Reserve is
The education establishment will fight against common sense every inch of the way	He has designed furniture and homes as well as commercial and office space	He has designed furniture and homes
United Illuminating also amended its rate plan	Kyle manufactures electronic components	Kyle manufactures
The finance unit attributed the decline to higher borrowing costs compared with a year earlier	But some saw it as a classic negotiating tactic	But some saw as a classic negotiating tactic
One ad features a huge robot carrying a voluptuous woman in a faint	Farmers lay down before the bulldozers	Farmers lay down 
He confers big trading commissions on Wall Street firms	There are a few ramshackle fishing towns with quiet atolls of resort houses nearby	There are with quiet atolls of resort houses nearby'
Steppenwolf needs the extra seats even more than the fly space	Hanson is a London producer of consumer and other goods	There are with quiet atolls of resort houses nearby
Now it is their fellow Turks arriving as refugees from Bulgaria	Some institutional traders loved the wild ride	Some institutional traders loved
a nun raising some lovable orphans	You already know the answer	You already know
Opponents show that there are already more funds available than commendable reform efforts	The dispute was the subject of a Wall Street Journal article in August	The dispute was in August
Conversation was subdued as most patrons watched the latest market statistics on television	The current ruble rate has long been out of line with the black market	The current ruble rate has long been with the black market
