demonstration	test_sentence	response
Not that oil suddenly is a sure thing again	Their discomfort is a healthy sign for the rest of us	Their discomfort is the rest of us.
He has designed furniture and homes as well as commercial and office space	Japanese companies have a caveat competitor attitude	Japanese companies have an attitude.
We now know that the words were not always his own	Some nights he slept under his desk	Some nights he slept under.
That means huge travel bills	The plan is subject to approval by the bankruptcy court and others	The plan is subject to approval.
He had been associate professor in the department of finance at Seton Hall University	The state of New Hampshire has favored that plan	The state of New Hampshire has favored.
Some funds are posting yields far higher than the average	The failed rights issue also should have a modest impact on British Air shares	The failed rights issue also should have
Many of his peers feel the same way	Mervin Lung remains chairman and chief executive officer	Mervin Lung remains
She was the child of relative privilege	Yet he has proved more resilient than any of them	Yet he has proved
Both the Peasants and Rural Solidarity are forming new political parties for farmers	Blue chips led the march up in heavy trading	Blue chips led
Nausea and vomiting are other common side effects	That would leave Hun Sen and the Khmer Rouge	That would leave
It is hoped that other Japanese would then follow the leader	She has also served on several task forces on acquired immune deficiency syndrome	She has also served
He is a lawyer with a string of academic degrees	But the production is the equal of any local program	But the production is
Wang had previously forecast a loss	The house just settled right down into the ground	The house just settled
Recent data from New York City provide more of the picture	The screen was a sea of red	The screen was
And the number of stocks hitting new lows far outstrips the number setting new highs	But most lawyers accept that the marketplace has spoken	But most lawyers accept
Only the bravest spirits survive such roller coasters	This occurred partly because of more competition as the number of new businesses surged	This occurred partly because of more competition as the number of new businesses surged
The Fed has assumed a similar responsibility in the market for government securities	Four of those insiders sold more than half their holdings	Four of those insiders sold
But they will have disappointing returns or even losses if interest rates rise instead	The House bill also distorts economic efficiency in all sorts of perverse ways	The House bill also distorts
But Trelleborg still must clear some tough hurdles	The company also reassigned several executive responsibilities	The company also reassigned
Japan is a major target for the Soviets	This is the commercial version	This is
The collagen corneal shield helps speed healing of the cornea after eye surgery	But lawmakers of both parties agree that the streamlining was temporary	But lawmakers of both parties agree
Japanese government bonds showed little change	He can live with little pleasures	He can live
That structural lack is crucial because investors are the only source of market liquidity	Local pollution problems require cheap energy and capital for their solution	Local pollution problems require
Strategists should consider the impact of budget uncertainties at the beginning of the planning process	He hit the lanes three years ago on the advice of his doctor	He hit on the advice of his doctor
