demon	d_label	test	start	end	prediction
Their ridicule of him is no substitute for argument	no substitute for argument	But some analysts remain sour on the company	21	22	the company
Some abortion advocates have been asking themselves this very question	this very question	Sonja Steptoe and David Wilson contributed to this article	25	22	nan
But its surprising progress so far holds important lessons for companies in trouble	important lessons for companies in trouble	No one has alleged that the donations were by themselves illegal	26	17	nan
The infusion of activists can bring a clash of cultures	a clash of cultures	Some found it on the screen of a personal computer	23	14	nan
They have about seven candidates	about seven candidates	But funds generally are better prepared this time around	17	17	time
The House version of the bill does include the tax cut	the tax cut	They speak volumes about the state of our society at a given moment	26	28	a given moment
She was the child of relative privilege	the child of relative privilege	Merchant banks were stronger across the board	20	16	nan
The woman won the bet	the bet	His credentials are excellent for the task	14	1	nan
President Bush signed a disaster declaration covering seven Northern California counties	a disaster declaration covering seven Northern California counties	Many small investors went for the safety of money market funds	22	30	small investors went for the safety of money market
Such trappings suggest a glorious past but give no hint of a troubled present	a glorious past	But the brand had trouble from the start	21	27	the brand had trouble from the start
Nguyen Van Chan is living proof that old ways die hard	living proof that old ways die hard	The current ruble rate has long been out of line with the black market	16	35	old ways die hard[SEP]The current ruble rate has long been out of line with the black market
He visits the same department every two or three weeks	the same department	Other magazine publishing companies have been moving in the same direction	23	18	nan
Some even see a silver lining in the dark clouds	a silver lining	Brand loyalty was stronger among older consumers in the Journal survey	23	20	nan
The company attributed much of the growth in earnings to increased demand for its systems productivity software	much of the growth in earnings	But transportation officials worry that such extraordinary measures and cooperation may not last	20	18	nan
The service supplies weekly reports on school and college construction plans	weekly reports on school and college construction plans	That is for the future	24	19	nan
He hit the lanes three years ago on the advice of his doctor	the lanes	This occurred partly because of more competition as the number of new businesses surged	24	29	as the number of new businesses
They have about seven candidates	about seven candidates	The agreement is subject to government approval	15	0	nan
The relative calm in Tokyo proved little comfort to markets opening up in Europe	little comfort to markets opening up in Europe	The board expands to seven members	18	18	markets
Bolar has denied any wrongdoing	any wrongdoing	Demand will come first from programming production companies and then from television stations	21	17	nan
Integrated made its announcement after the market closed	its announcement	Such animosity could prove pivotal in the union vote	19	0	nan
Some even see a silver lining in the dark clouds	a silver lining	But the outcome of a legal dispute almost always turns on the facts	19	19	a
The Bakersfield Supermarket went out of business last May	last May	Soaring rights fees will lead to an even greater clutter of commercials	23	28	an even greater clutter of commercials
He had been vice president in that office	vice president in that office	The majority of the bikes never even make it into the high country	25	27	the high country
Most British programming is more of an acquired taste	more of an acquired taste	The tape was on tv before the night was out	22	23	the night
Americans may not be so lucky the next time	the next time	Part of the answer lies in the nature of the industry	20	24	the nature of the industry
And the naczelnik shuts his door	his door	Some would make even James Bond green with envy	19	0	nan
Her story is becoming part of local folklore	part of local folklore	Each company worries that the other is becoming too powerful and too vertically integrated	18	26	the other is becoming too powerful and too vertically
One bank stock was a winner	a winner	The stock market is certainly not too big for the Fed to handle	19	12	nan
Nor do analysts expect the Sansui deal to touch off a fresh wave of foreign purchases	a fresh wave of foreign purchases	Soaring rights fees will lead to an even greater clutter of commercials	18	37	a fresh wave of foreign purchases[SEP]Soaring rights fees will lead to an even greater clutter of commercials
Now at least one Japanese company is turning the courtroom tables	the courtroom tables	The latest rebate is good for all Beretta models	25	25	models
Italian President Francesco Cossiga promised a quick investigation into whether Olivetti broke Cocom rules	a quick investigation into whether Olivetti broke Cocom rules	The youthful audience for Saturday programming is no longer dependent on the networks	20	34	a quick investigation into whether Olivetti broke Cocom rules[SEP]The youthful audience
The fund made a similar move earlier this year	a similar move	This starts in the construction phase through the use of minority contractors and local workers	21	28	the use of minority contractors and local workers
The House version of the bill does include the tax cut	the tax cut	It added that no discussions about such a sale are under way	23	27	a sale are under way
Others had lesser damage and there were no injuries among workers	lesser damage	The dollar finished at its intraday highs	20	23	intraday highs
He sees a psychoanalyst five mornings a week	a psychoanalyst	Both firms are in New York	11	17	a psychoanalyst[SEP]Both firms
The British economy is hardly the picture of health these days	the picture of health	The bikes are unwelcome on trails in national parks	20	25	unwelcome on trails in national parks
Still the Salinger decision created a strong presumption against fair use of unpublished materials	a strong presumption against fair use of unpublished materials	The Old Crowd is deeply concerned by the backlash from all this	16	30	a strong presumption against fair use of unpublished materials[SEP]The Old Crowd is deeply
The complicated language in the huge new law has muddied the fight	the fight	Sometimes repairs are out of the question	23	24	the question
Another poked a hole in the heel of his shoe	a hole	London shares closed moderately lower in thin trading	11	21	a hole[SEP]London shares closed moderately lower in thin trading
Still the Salinger decision created a strong presumption against fair use of unpublished materials	a strong presumption against fair use of unpublished materials	Inflation is at record levels	16	31	a strong presumption against fair use of unpublished materials[SEP]Inflation is at record levels
Judges will write the real bill as suits roll through the courts	the real bill	It also asked Mesa to keep the proposal confidential	24	25	the proposal
Other gainers were companies with one or more undamaged California refineries	companies with one or more undamaged California refineries	And his outlook improved after successful cataract surgery in August	18	16	nan
Some funds are posting yields far higher than the average	yields far higher than the average	But such skills were alien to Toni Johnson	19	20	such skills
And many have done just that	just that	This leads to a very special sense of urgency	13	18	a very special sense of urgency
He visits the same department every two or three weeks	the same department	He can live with little pleasures	19	20	little pleasures
But they are stalwart socialists	stalwart socialists	He was back in jail over the summer on shoplifting charges	17	20	the summer on shop
And the naczelnik shuts his door	his door	The transaction is subject to a definitive agreement and approval by Ideal shareholders	18	24	a definitive agreement and approval by Ideal
The service supplies weekly reports on school and college construction plans	weekly reports on school and college construction plans	The prospect of such a takeover fight has sent Jaguar shares soaring in recent weeks	25	35	a takeover fight has sent Jaguar shares soaring in recent weeks
The Ministry of Agriculture and Fishery actually is a ministry for farmers and fishermen instead of a ministry of provisions	a ministry for farmers and fishermen instead of a ministry of provisions	The scientists have experimented on the tiny neck arteries of rats	22	36	a ministry for farmers and fishermen instead of a ministry of provisions[SEP]The scientists
Wall Street generally likes the industry again	the industry	This bias is in no way deliberate	0	16	Wall Street generally likes the industry again[SEP] the industry[SEP]This bias is in no way
Total return is price changes plus interest income	price changes plus interest income	The bikes are unwelcome on trails in national parks	21	23	in national parks
The Ministry of Agriculture and Fishery actually is a ministry for farmers and fishermen instead of a ministry of provisions	a ministry for farmers and fishermen instead of a ministry of provisions	Judith Valente contributed to this article	22	27	a ministry for farmers and fishermen
Whittle has met some resistance	some resistance	This has led them in a fruitless and destructive policy circle	15	20	a fruitless and destructive policy
Fog shrouded the base before touchdown	the base	The bikes are unwelcome on trails in national parks	14	19	unwelcome on trails in national parks
One bank stock was a winner	a winner	The company is active in office and residential development in New York	15	11	nan
